symbol,date,close,high,low,open,volume
BIDU,2013-10-07,157.54,160.6,157.45,157.61,3195199
BIDU,2013-10-08,148.75,158.71,146.67,157.54,6237238
BIDU,2013-10-09,146.54,150.97,141.52,149.97,5752320
BIDU,2013-10-10,153.16,153.87,149.05,150.12,3432464
BIDU,2013-10-11,154.9,155,150.48,152,2824985
BIDU,2013-10-14,152.96,153.75,150.84,152.07,1945611
BIDU,2013-10-15,151.5,153.99,150.4154,152.75,2406944
BIDU,2013-10-16,150.2,155,149.74,151.72,2946473
BIDU,2013-10-17,153.83,154.96,150,150.23,3223158
BIDU,2013-10-18,165.91,166.39,157,157.23,7361401
BIDU,2013-10-21,161.21,167.55,160.38,167.55,4507385
BIDU,2013-10-22,158.57,164.8,153.22,162.35,4137508
BIDU,2013-10-23,155.07,156.5,151.35,155.15,4796768
BIDU,2013-10-24,161.34,161.86,155.32,155.76,4452035
BIDU,2013-10-25,159.36,165.4,158.1,162.9,4132227
BIDU,2013-10-28,154.12,158.4,152.5,155.51,4511491
BIDU,2013-10-29,159.41,159.5,152.53,154.71,6291913
BIDU,2013-10-30,164.934,169.75,159.75,168.6,14106908
BIDU,2013-10-31,160.799,163.39,157.45,161.59,5169619
BIDU,2013-11-01,160.06,163.12,158.23,162.99,2943715
BIDU,2013-11-04,156.02,160.6,155.5,160.36,3014390
BIDU,2013-11-05,153.462,155.49,150.2,155.16,5426350
BIDU,2013-11-06,150.09,155.49,147.79,154,3800170
BIDU,2013-11-07,147.35,150.92,142.7,150.56,5243326
BIDU,2013-11-08,151.09,152.6,147.2,147.95,4396401
BIDU,2013-11-11,151.6,153.56,150,151.11,2224464
BIDU,2013-11-12,150.43,154.11,149.56,151,1964997
BIDU,2013-11-13,152.98,153,147.8,148.95,2671038
BIDU,2013-11-14,158.99,159.6,152.74,153.48,4229905
BIDU,2013-11-15,162.33,163.04,159.3,159.5,4473044
BIDU,2013-11-18,162.87,169.55,161.64,164,4900072
BIDU,2013-11-19,163.12,165.76,160.2,164.5,3275509
BIDU,2013-11-20,158.76,164.98,158.32,163.32,2718479
BIDU,2013-11-21,158.404,161.24,156.81,161.01,3187703
BIDU,2013-11-22,158.09,160,156.52,159.25,2242561
BIDU,2013-11-25,156.66,160.59,155.66,158.86,2439460
BIDU,2013-11-26,163.03,163.28,153.25,155.77,3922681
BIDU,2013-11-27,162.99,165.7,161.98,163.16,2483948
BIDU,2013-11-29,166.57,168.24,163.51,163.51,2218797
BIDU,2013-12-02,168.66,169.13,163.65,167.14,2811278
BIDU,2013-12-03,167.05,170.429,166,168.01,2632282
BIDU,2013-12-04,168.26,169.19,163.31,165.5,2524689
BIDU,2013-12-05,167.36,170.78,165.43,168.62,3965082
BIDU,2013-12-06,168.71,170,165.45,168.07,3672065
BIDU,2013-12-09,171.899,173.65,167.011,169.11,4351694
BIDU,2013-12-10,179.93,180.8891,171.1,171.7,6906312
BIDU,2013-12-11,173.24,181.25,172.61,180.24,4252803
BIDU,2013-12-12,171.5,174.389,170.11,173.11,3699613
BIDU,2013-12-13,171.24,173.8,169.6,172.75,2200425
BIDU,2013-12-16,169.01,173.97,168.31,172.55,2528327
BIDU,2013-12-17,168.33,171.499,168,170.47,2057264
BIDU,2013-12-18,171.49,172.18,166.2,168.76,2950277
BIDU,2013-12-19,170.39,171.17,168.85,170.13,2240750
BIDU,2013-12-20,173.36,174.89,168.83,170.7,3148833
BIDU,2013-12-23,172.3,174.54,170.99,174.08,2469152
BIDU,2013-12-24,168.578,172.7999,168.12,172.13,1881625
BIDU,2013-12-26,167.28,169.65,166.8,169.29,2091523
BIDU,2013-12-27,173.77,174.87,167.436,167.76,3534480
BIDU,2013-12-30,173.99,175.89,170.6,173.36,2165878
BIDU,2013-12-31,177.88,178.37,174.49,175.13,2763274
BIDU,2014-01-02,179.99,181.15,174.51,177.49,4703126
BIDU,2014-01-03,175.28,180.2999,174.75,179.73,3385204
BIDU,2014-01-06,176.63,177.75,173.75,175.18,2859365
BIDU,2014-01-07,178.82,179.1799,175.7,178.2,2481825
BIDU,2014-01-08,181.79,184.87,179.5,179.94,3442602
BIDU,2014-01-09,175.52,185.5,175.3,182.65,4527514
BIDU,2014-01-10,179.66,180.22,176.61,178.9,3319676
BIDU,2014-01-13,171,181.05,170.39,178.1,4445542
BIDU,2014-01-14,172.87,173.94,171.77,173.89,3691263
BIDU,2014-01-15,170.5,174.88,169.71,173.91,3338742
BIDU,2014-01-16,173,174.57,169.75,171.3,2975256
BIDU,2014-01-17,170.14,172.9299,168.87,172.48,3710648
BIDU,2014-01-21,172.7,174.64,169.26,172.48,3434311
BIDU,2014-01-22,174.43,176.32,172.2501,174.09,3090351
BIDU,2014-01-23,163.58,170.55,162,168.79,9601679
BIDU,2014-01-24,161.37,165.33,159,160.6,5976567
BIDU,2014-01-27,158.68,163.286,155.2077,161.52,4694519
BIDU,2014-01-28,164.24,166.55,162.5,163.29,4883905
BIDU,2014-01-29,158.1,163.3899,157.4,163.29,4333254
BIDU,2014-01-30,160.81,162.6,158.3,161.48,3345418
BIDU,2014-01-31,156.5,159.9499,155.37,159.74,3957725
BIDU,2014-02-03,150.52,157.93,148.6,156.26,5033243
BIDU,2014-02-04,155.82,156.22,152.01,152.45,3459939
BIDU,2014-02-05,152.1,154.72,149.26,154.26,3156198
BIDU,2014-02-06,155.05,157.19,152,152.01,3226834
BIDU,2014-02-07,161.14,162.745,156,156.44,4407825
BIDU,2014-02-10,164.24,165.85,160.14,160.23,3367861
BIDU,2014-02-11,166.29,167.27,162.7,165.49,3569690
BIDU,2014-02-12,167.05,168.289,164.57,167.82,3066966
BIDU,2014-02-13,170.04,170.14,164.1,165.83,3284980
BIDU,2014-02-14,167.48,170.185,166.14,170.04,2530009
BIDU,2014-02-18,173.79,174.3,168.93,170,3742435
BIDU,2014-02-19,173.59,177.32,173.02,173.87,3143398
BIDU,2014-02-20,173.9,174.3625,169.76,173.91,3028442
BIDU,2014-02-21,172.66,175.23,170.9,173.31,2440391
BIDU,2014-02-24,172.53,176,172.01,175.53,2712414
BIDU,2014-02-25,170.15,173.99,168.66,173.05,3486645
