symbol,date,close,high,low,open,volume
AMGN,2013-10-07,97.868,99.1871,97.7437,98.9779,2662599
AMGN,2013-10-08,95.6837,98.383,94.929,97.8236,4288576
AMGN,2013-10-09,94.3696,96.2697,93.9078,96.0122,5440677
AMGN,2013-10-10,97.6017,97.6638,95,95.1598,3096572
AMGN,2013-10-11,98.4629,99.0135,97.3708,97.6727,2431336
AMGN,2013-10-14,99.0756,99.1733,97.3086,97.6904,2211075
AMGN,2013-10-15,98.9513,99.5551,98.4629,99.1111,1968930
AMGN,2013-10-16,101.473,101.9792,99.76,99.8215,3541553
AMGN,2013-10-17,102.8671,102.9736,100.9048,100.9314,2656420
AMGN,2013-10-18,102.0395,103.0003,101.0291,102.9559,2694022
AMGN,2013-10-21,100.9048,102.5297,100.1234,102.0768,2683437
AMGN,2013-10-22,103.1868,103.5686,100.6917,101.5618,3665672
AMGN,2013-10-23,102.7073,103.1335,101.3132,102.0591,3365234
AMGN,2013-10-24,103.1779,104.3588,102.7783,103.2489,3234182
AMGN,2013-10-25,103.2844,103.5774,102.2633,103.5508,2005042
AMGN,2013-10-28,105.0692,105.6286,102.8227,102.9914,3322003
AMGN,2013-10-29,105.015,105.1136,103.6218,105.0425,2655560
AMGN,2013-10-30,103.7817,105.2201,103.5064,105.0603,2527902
AMGN,2013-10-31,103.1246,104.4609,102.9026,103.9859,2648578
AMGN,2013-11-01,105.3871,105.4377,103.4975,103.9504,2632299
AMGN,2013-11-04,104.1368,106.2856,103.7905,105.4243,2248741
AMGN,2013-11-05,102.2367,103.7728,101.9793,103.2933,3299323
AMGN,2013-11-06,100.6251,103.2578,100.4164,103.2223,3494241
AMGN,2013-11-07,98.5873,102.3343,98.2498,101.3665,3827369
AMGN,2013-11-08,100.523,101.1978,98.8004,98.9247,3060040
AMGN,2013-11-11,100.4874,101.2058,99.1555,100.3365,2294762
AMGN,2013-11-12,100.4963,100.7103,99.3729,100.0149,2413459
AMGN,2013-11-13,101.2275,101.6198,98.8379,99.462,3221837
AMGN,2013-11-14,102.9038,104.1075,101.3077,101.6644,4040823
AMGN,2013-11-15,102.5204,103.0999,101.3791,102.5382,2910548
AMGN,2013-11-18,103.4566,104.9634,103.2069,103.8756,2879834
AMGN,2013-11-19,102.9483,103.5814,102.2261,103.1713,2152241
AMGN,2013-11-20,103.0375,104.054,102.4401,102.8592,2269296
AMGN,2013-11-21,100.0862,103.7664,98.7487,103.2604,7457362
AMGN,2013-11-22,100.7817,101.2007,100.0684,100.7638,4520431
AMGN,2013-11-25,101.6109,101.6822,100.2734,101.067,3304962
AMGN,2013-11-26,101.3523,102.2975,101.2364,101.709,2737683
