symbol,date,close,high,low,open,volume
BBBY,2013-10-07,72.8819,73.5664,72.7583,73.3668,1249834
BBBY,2013-10-08,72.1118,73.1077,72.0928,72.8058,1324262
BBBY,2013-10-09,71.2562,72.359,71.1516,72.359,1443383
BBBY,2013-10-10,72.7868,73.015,71.8741,72.0072,1058779
BBBY,2013-10-11,73.5189,73.728,72.2164,72.2164,957478
BBBY,2013-10-14,73.4618,73.6615,72.7583,73.2527,745606
BBBY,2013-10-15,72.4541,73.5759,72.1879,73.2051,979028
BBBY,2013-10-16,73.3192,73.3905,72.7298,73.091,1019021
BBBY,2013-10-17,72.8534,73.4143,72.6252,73.053,1208274
BBBY,2013-10-18,72.5872,73.1671,72.5016,73.1101,2020790
BBBY,2013-10-21,73.015,73.2907,72.5586,72.6062,911029
BBBY,2013-10-22,72.977,73.5759,72.745,73.4333,1414466
BBBY,2013-10-23,73.0815,73.3002,72.6157,72.7013,888803
BBBY,2013-10-24,72.996,73.4523,72.8439,73.1766,928900
BBBY,2013-10-25,72.9675,73.2906,72.7345,73.2812,816251
BBBY,2013-10-28,72.8819,73.3572,72.5206,72.9389,839221
BBBY,2013-10-29,73.6234,73.8041,72.863,72.8914,1559359
BBBY,2013-10-30,73.6805,74.2604,72.7583,73.1196,1571753
BBBY,2013-10-31,73.5094,73.9372,73.034,73.6234,1040738
BBBY,2013-11-01,73.1196,74.0608,72.6347,73.728,910778
BBBY,2013-11-04,73.1956,73.4238,72.3305,73.0245,1203799
BBBY,2013-11-05,73.5569,74.0608,72.3685,73.1196,1526718
BBBY,2013-11-06,72.2544,73.4143,71.5509,72.9104,2242259
BBBY,2013-11-07,71.7696,73.4143,71.4938,72.4541,1956364
BBBY,2013-11-08,72.0262,72.0833,71.3417,71.5604,1450559
BBBY,2013-11-11,72.7868,72.8439,71.8171,72.0167,1032371
BBBY,2013-11-12,72.6537,73.4333,72.3875,72.7488,1150230
BBBY,2013-11-13,74.308,75.0495,72.3875,72.5682,1972279
BBBY,2013-11-14,74.2509,74.6692,73.8706,74.5361,1077381
BBBY,2013-11-15,74.308,74.4411,73.7565,74.0798,1218823
BBBY,2013-11-18,73.3763,74.422,73.1196,74.422,1205331
BBBY,2013-11-19,73.3858,73.9277,72.8153,73.1006,998337
BBBY,2013-11-20,72.6062,73.8421,72.4636,73.8421,996741
BBBY,2013-11-21,73.053,73.4856,72.3134,73.0055,1160068
BBBY,2013-11-22,73.6425,73.7565,72.6347,73.053,1313418
BBBY,2013-11-25,73.8896,74.5456,73.6234,74.4411,1458544
BBBY,2013-11-26,74.7073,74.9925,73.7375,73.9087,1527000
BBBY,2013-11-27,74.4411,74.9925,74.0399,74.5076,1111566
BBBY,2013-11-29,74.1844,74.983,73.8706,74.5837,480720
BBBY,2013-12-02,74.1559,74.8309,73.7851,74.3745,1353351
BBBY,2013-12-03,74.2889,74.346,73.3192,73.5949,1798140
BBBY,2013-12-04,73.2337,74.5837,72.7963,73.6139,2033609
BBBY,2013-12-05,73.3858,73.8041,73.2241,73.2241,1220065
BBBY,2013-12-06,74.2794,74.4125,73.4999,74.1178,1026995
BBBY,2013-12-09,73.8516,74.5932,73.7661,74.2699,1478794
BBBY,2013-12-10,74.1654,74.7358,73.4143,73.4143,1556884
BBBY,2013-12-11,73.4333,74.5742,73.3953,74.1463,1162501
BBBY,2013-12-12,72.7488,73.5246,72.4731,73.1196,1086519
BBBY,2013-12-13,72.7488,74.1368,72.6822,73.5759,1106079
BBBY,2013-12-16,73.0245,73.728,72.7678,72.7678,1245756
BBBY,2013-12-17,73.1576,73.5854,72.3495,73.1196,1273696
BBBY,2013-12-18,74.5932,74.7263,73.1861,73.5379,1715985
BBBY,2013-12-19,73.6995,74.4696,72.996,74.2414,2294737
BBBY,2013-12-20,73.5949,74.3603,72.8334,73.5189,3680801
BBBY,2013-12-23,74.5551,74.8309,73.728,74.2224,990165
BBBY,2013-12-24,74.7738,75.4298,74.327,74.4601,784156
BBBY,2013-12-26,75.6104,76.0193,74.8974,74.8974,1035790
BBBY,2013-12-27,75.4108,76.0478,75.2492,75.9432,694381
BBBY,2013-12-30,76.1809,76.3045,75.1636,75.7531,882797
BBBY,2013-12-31,76.3425,76.5706,75.9242,76.314,675315
BBBY,2014-01-02,76.0858,76.4471,75.6009,76.2284,1517671
BBBY,2014-01-03,76.5136,76.8369,75.677,76.2094,1399687
BBBY,2014-01-06,75.2492,76.7228,75.021,76.2474,2187912
BBBY,2014-01-07,75.3062,76.081,74.384,74.8689,1860060
BBBY,2014-01-08,75.7531,76.2664,75.1066,76.2379,4127798
BBBY,2014-01-09,66.3124,68.6985,65.4378,68.6607,17536166
BBBY,2014-01-10,66.4931,66.6452,65.8466,66.4741,6273043
BBBY,2014-01-13,64.9339,66.455,64.6487,66.0843,4944936
BBBY,2014-01-14,63.4033,65.0005,63.4033,64.9244,5597319
BBBY,2014-01-15,64.0212,64.121,63.004,63.6219,3521534
BBBY,2014-01-16,63.8406,64.0212,62.8043,63.736,3428813
BBBY,2014-01-17,62.7948,63.8501,62.6237,63.698,4124845
BBBY,2014-01-21,62.7948,63.2987,62.367,63.2511,3418481
BBBY,2014-01-22,61.9201,62.9564,61.5684,62.9089,4354811
BBBY,2014-01-23,62.4335,62.6902,61.7965,61.8251,3309968
BBBY,2014-01-24,61.4067,62.5855,61.3972,62.1008,3089166
BBBY,2014-01-27,61.1501,61.9677,61.1501,61.5589,2223187
BBBY,2014-01-28,61.8821,62.0818,61.131,61.1501,2876603
BBBY,2014-01-29,61.1786,61.6825,60.8743,61.6825,3114832
BBBY,2014-01-30,60.9409,61.8631,60.8458,61.5494,2585396
BBBY,2014-01-31,60.7032,61.3117,60.1423,60.3039,2111699
BBBY,2014-02-03,59.5909,61.2356,59.0585,61.2356,3055009
BBBY,2014-02-04,60.5891,60.9409,59.743,59.8951,2963171
BBBY,2014-02-05,59.9426,60.6462,59.8,60.5416,2251383
BBBY,2014-02-06,60.8458,61.074,59.9712,59.9712,3076483
BBBY,2014-02-07,60.9504,61.3687,60.1613,60.9409,2759041
BBBY,2014-02-10,61.1405,61.7965,60.8458,60.9504,2669519
BBBY,2014-02-11,61.074,61.4637,60.8934,61.3972,2284295
BBBY,2014-02-12,61.4067,61.7015,60.9219,61.2071,2811625
BBBY,2014-02-13,61.73,62.1483,60.8934,61.2832,2857758
BBBY,2014-02-14,62.7092,62.8423,61.5113,61.5589,2526063
BBBY,2014-02-18,62.4525,62.9849,62.2386,62.8138,2213494
BBBY,2014-02-19,62.2624,62.6617,61.8536,62.1578,2162278
BBBY,2014-02-20,61.9201,62.8994,61.768,62.5001,2293604
BBBY,2014-02-21,61.787,62.0627,61.2832,61.7395,2513954
BBBY,2014-02-24,62.7378,62.8804,61.8061,62.0532,2087733
BBBY,2014-02-25,63.8786,64.0497,62.6046,63.004,5812409
BBBY,2014-02-26,64.7818,65.0718,64.0307,64.0497,3655665
BBBY,2014-02-27,64.0783,64.8293,63.5839,64.2684,3936723
BBBY,2014-02-28,64.4776,64.7057,63.8976,64.2969,2552423
BBBY,2014-03-03,64.5156,64.8293,63.8786,64.0497,2015205
BBBY,2014-03-04,64.6677,65.086,64.5916,65.029,2283765
BBBY,2014-03-05,65.3807,65.4616,64.6107,64.8293,2267817
BBBY,2014-03-06,64.8959,65.3237,64.6582,64.6962,3109129
BBBY,2014-03-07,65.7515,66.2459,65.1431,65.1811,3371115
BBBY,2014-03-10,66.0367,66.2744,65.5994,65.8941,4342379
BBBY,2014-03-11,65.8751,66.1603,65.78,65.9227,2692416
BBBY,2014-03-12,65.7705,65.8466,65.4758,65.4853,1672069
BBBY,2014-03-13,65.1526,66.0938,65.0005,66.0938,2172587
BBBY,2014-03-14,64.9339,65.7021,64.8864,64.9339,2519373
BBBY,2014-03-17,64.7438,65.3451,64.2209,65.1526,3137179
BBBY,2014-03-18,64.9434,65.124,64.7723,64.8769,1841733
BBBY,2014-03-19,64.5441,65.2286,64.1068,65.029,2116779
BBBY,2014-03-20,64.4728,64.7628,64.1923,64.2494,1328860
BBBY,2014-03-21,64.2209,65.0385,63.9737,65.0385,3639114
BBBY,2014-03-24,63.9452,64.6487,63.6885,64.392,1742341
BBBY,2014-03-25,64.392,64.5822,64.0212,64.2779,1571625
BBBY,2014-03-26,63.9357,64.6962,63.8691,64.4205,1792448
BBBY,2014-03-27,64.0878,64.2874,63.698,63.8596,1206746
BBBY,2014-03-28,65.0575,65.0765,64.1353,64.2209,1421864
BBBY,2014-03-31,65.4093,65.8561,64.9814,65.3902,1642196
BBBY,2014-04-01,65.9607,66.3885,65.2857,65.5994,1794900
BBBY,2014-04-02,66.0082,66.1532,65.5519,65.9322,1847414
BBBY,2014-04-03,66.36,66.5406,65.9797,66.1033,1651862
BBBY,2014-04-04,65.8086,67.4818,65.761,66.5501,3231724
BBBY,2014-04-07,64.0497,65.8086,64.0212,65.5519,2660336
BBBY,2014-04-08,64.4205,65.067,63.9642,63.9642,2836964
BBBY,2014-04-09,64.5631,64.8407,63.9452,64.6772,4958485
BBBY,2014-04-10,60.5796,61.6825,59.9902,60.4275,12090965
BBBY,2014-04-11,60.5796,61.0645,59.9902,59.9902,4158979
BBBY,2014-04-14,61.2261,61.5684,60.9219,61.2641,2373767
BBBY,2014-04-15,61.1215,61.5398,60.2944,61.2166,2833611
BBBY,2014-04-16,61.3592,61.9296,61.2451,61.6159,2730064
BBBY,2014-04-17,60.5606,61.5494,60.1993,61.3972,3156659
BBBY,2014-04-21,60.5416,60.9504,60.3895,60.7412,2522275
BBBY,2014-04-22,60.1518,60.8078,59.9807,60.8078,2778246
BBBY,2014-04-23,59.8191,60.8934,59.7145,60.4465,3020384
BBBY,2014-04-24,59.7335,60.3515,59.5719,60.0282,2724323
BBBY,2014-04-25,59.4007,59.7076,59.2486,59.6289,2707821
BBBY,2014-04-28,59.6004,59.724,59.2867,59.5053,3636177
BBBY,2014-04-29,59.1631,59.9426,59.1155,59.9426,2377516
BBBY,2014-04-30,59.068,59.3247,58.6592,59.1155,2482817
BBBY,2014-05-01,59.0395,59.2962,58.7733,59.2962,2634145
BBBY,2014-05-02,59.087,59.3342,58.9159,59.1155,2781823
BBBY,2014-05-05,58.9349,59.1317,58.4135,58.9634,1767010
BBBY,2014-05-06,58.2218,58.9444,58.2218,58.6687,1939359
BBBY,2014-05-07,57.9937,58.5166,57.6324,58.4215,2723275
BBBY,2014-05-08,57.8891,58.3074,57.5659,57.8606,3746865
BBBY,2014-05-09,58.2884,58.45,57.5944,57.6609,5413118
BBBY,2014-05-12,59.7335,59.9236,58.6116,58.7828,3353728
BBBY,2014-05-13,59.2391,59.7924,59.2201,59.6669,2805756
BBBY,2014-05-14,59.3437,59.5909,59.0775,59.3152,4173773
BBBY,2014-05-15,59.2296,59.2962,58.5641,59.1916,2366414
