symbol,date,close,high,low,open,volume
CSCO,2013-10-07,19.4912,19.6189,19.2698,19.3805,29576021
CSCO,2013-10-08,19.274,19.5593,19.2613,19.5593,31986356
CSCO,2013-10-09,19.1591,19.3805,18.9803,19.2953,45362459
CSCO,2013-10-10,19.5934,19.6487,19.2442,19.3294,38826052
CSCO,2013-10-11,19.8233,19.9084,19.5593,19.6019,27773822
CSCO,2013-10-14,19.8744,19.8914,19.6445,19.7211,29103136
CSCO,2013-10-15,19.7381,19.9425,19.7296,19.8914,26205212
CSCO,2013-10-16,19.5806,19.8403,19.4231,19.7722,40483038
CSCO,2013-10-17,19.3984,19.4827,19.091,19.4145,69374311
CSCO,2013-10-18,19.5516,19.7041,19.3805,19.4656,44486609
CSCO,2013-10-21,19.5252,19.6785,19.4231,19.6785,34594575
CSCO,2013-10-22,19.2868,19.5848,19.091,19.5763,64559921
CSCO,2013-10-23,18.9505,19.2783,18.9036,19.2528,49021438
CSCO,2013-10-24,19.0522,19.0995,18.8185,19.0228,50130329
CSCO,2013-10-25,19.1208,19.2698,19.0314,19.2357,34253447
CSCO,2013-10-28,19.2017,19.2017,18.9973,19.0739,24072140
CSCO,2013-10-29,19.4358,19.5252,19.2102,19.2953,30080623
CSCO,2013-10-30,19.3337,19.5337,19.2953,19.4742,30467844
CSCO,2013-10-31,19.2102,19.3379,19.108,19.2783,34498901
CSCO,2013-11-01,19.2144,19.3124,19.0739,19.2953,33332149
CSCO,2013-11-04,19.2272,19.2783,19.0922,19.2017,28616959
CSCO,2013-11-05,19.6402,19.7935,19.091,19.2528,46343551
CSCO,2013-11-06,19.8233,19.8999,19.6019,19.7637,48257796
CSCO,2013-11-07,19.6785,20.0617,19.6445,19.934,35504442
CSCO,2013-11-08,20.0191,20.0276,19.6572,19.8233,30893268
CSCO,2013-11-11,19.9638,20.0787,19.9255,20.0106,22696520
CSCO,2013-11-12,20.2065,20.3001,19.951,19.951,38031125
CSCO,2013-11-13,20.4321,20.4364,20.0191,20.0958,75234897
CSCO,2013-11-14,18.1926,18.2565,17.686,17.8265,243255407
CSCO,2013-11-15,18.3374,18.4694,18.1032,18.2735,85505962
CSCO,2013-11-18,18.1288,18.4949,18.0521,18.3927,66008941
CSCO,2013-11-19,18.2395,18.3374,17.984,18.1458,57309745
CSCO,2013-11-20,18.0777,18.282,18.0692,18.282,44305728
CSCO,2013-11-21,18.282,18.2991,18.0947,18.1884,40697974
CSCO,2013-11-22,18.2735,18.3076,18.1458,18.2309,41104992
CSCO,2013-11-25,18.1117,18.3246,18.1117,18.265,37569831
CSCO,2013-11-26,18.0606,18.2309,17.9499,18.1373,48629279
CSCO,2013-11-27,18.1117,18.1799,18.0095,18.1309,40021060
CSCO,2013-11-29,18.0947,18.2565,18.0521,18.2139,25043707
CSCO,2013-12-02,17.9585,18.1373,17.9329,18.1288,35385225
CSCO,2013-12-03,18.1032,18.1032,17.8988,17.9244,52499711
CSCO,2013-12-04,18.0938,18.1799,17.9414,17.9585,44534992
CSCO,2013-12-05,17.8052,18.1364,17.7882,18.0521,61782051
CSCO,2013-12-06,18.1202,18.1543,17.9414,17.984,51266300
CSCO,2013-12-09,18.0692,18.1628,18.0521,18.1373,41432870
CSCO,2013-12-10,18.0606,18.1713,18.0095,18.1034,45957588
CSCO,2013-12-11,17.7796,17.8903,17.5838,17.8733,66074985
CSCO,2013-12-12,17.4646,17.7371,17.2517,17.7285,69575109
CSCO,2013-12-13,17.2347,17.5242,17.2176,17.5242,51889614
CSCO,2013-12-16,17.6093,17.6689,17.2457,17.3283,54485551
CSCO,2013-12-17,17.8137,17.9925,17.6093,17.6604,45343332
CSCO,2013-12-18,17.8818,17.9159,17.471,17.7796,55495317
CSCO,2013-12-19,17.9414,17.9499,17.686,17.9414,36669506
CSCO,2013-12-20,17.9925,18.0947,17.8478,17.9329,64142321
CSCO,2013-12-23,18.3672,18.414,18.0692,18.0947,41245933
CSCO,2013-12-24,18.4694,18.529,18.2565,18.2735,18371968
CSCO,2013-12-26,18.563,18.6312,18.4949,18.4949,17067392
CSCO,2013-12-27,18.7504,18.7759,18.546,18.5545,24100877
CSCO,2013-12-30,18.9462,19.0143,18.7333,18.7333,27713912
CSCO,2013-12-31,19.0995,19.1335,18.8611,18.9462,33246316
CSCO,2014-01-02,18.8764,19.1252,18.7992,19.0223,44387713
CSCO,2014-01-03,18.8592,18.9794,18.7305,18.9536,36330724
CSCO,2014-01-06,18.885,19.0737,18.8163,18.8421,34160810
CSCO,2014-01-07,19.1424,19.2282,19.0051,19.0995,37384888
CSCO,2014-01-08,19.1278,19.1853,19.0051,19.1252,38363526
CSCO,2014-01-09,18.9536,19.1424,18.8078,19.1252,31794896
CSCO,2014-01-10,19.0652,19.1166,18.8678,19.0737,30321787
CSCO,2014-01-13,19.0394,19.58,18.9965,19.211,59616556
CSCO,2014-01-14,19.2282,19.3226,19.048,19.1595,44303004
CSCO,2014-01-15,19.5457,19.7344,19.2368,19.3054,61803332
CSCO,2014-01-16,19.5457,19.6572,19.4169,19.6057,38925362
CSCO,2014-01-17,19.5113,19.5457,19.3741,19.3741,44371925
CSCO,2014-01-21,19.5886,19.6915,19.4255,19.6572,33424737
CSCO,2014-01-22,19.5971,19.6915,19.5457,19.6572,30711027
CSCO,2014-01-23,19.3569,19.6057,19.2711,19.4684,37030454
CSCO,2014-01-24,19.048,19.3397,19.0223,19.2196,41252882
CSCO,2014-01-27,18.8764,18.9708,18.6705,18.6748,60539669
CSCO,2014-01-28,18.6619,18.8764,18.619,18.7734,41440550
CSCO,2014-01-29,18.5761,18.7348,18.5332,18.5461,35410890
CSCO,2014-01-30,18.8558,18.8678,18.5589,18.6791,42920860
CSCO,2014-01-31,18.7992,18.8678,18.5418,18.5418,43341195
CSCO,2014-02-03,18.4903,18.8335,18.4088,18.8163,60696033
CSCO,2014-02-04,18.7048,18.722,18.3616,18.516,46628558
CSCO,2014-02-05,18.8592,18.9365,18.5117,18.6104,46307515
CSCO,2014-02-06,19.2968,19.3741,18.8507,18.9107,49598524
CSCO,2014-02-07,19.4513,19.4942,19.1338,19.3226,54150067
CSCO,2014-02-10,19.5886,19.6272,19.3569,19.4255,45305882
CSCO,2014-02-11,19.4856,19.6315,19.4513,19.5457,46197556
CSCO,2014-02-12,19.6057,19.6658,19.3226,19.3998,70052969
CSCO,2014-02-13,19.1081,19.1081,18.5975,18.8678,153766718
CSCO,2014-02-14,19.3569,19.5371,19.048,19.0681,64580952
CSCO,2014-02-18,19.2282,19.3397,19.1595,19.2968,31033686
CSCO,2014-02-19,19.1166,19.3569,19.0652,19.1595,29339087
CSCO,2014-02-20,19.1338,19.2196,19.0137,19.0823,26215321
CSCO,2014-02-21,18.9879,19.2625,18.9879,19.1913,31485147
CSCO,2014-02-24,18.9794,19.1681,18.8764,19.0394,41861632
CSCO,2014-02-25,18.7391,19.0652,18.6705,19.0051,45400603
CSCO,2014-02-26,18.8163,18.8936,18.4903,18.7391,43575225
CSCO,2014-02-27,18.8078,18.9193,18.7563,18.7734,25804236
CSCO,2014-02-28,18.7048,18.9708,18.619,18.8507,40870739
CSCO,2014-03-03,18.5075,18.722,18.3959,18.5075,37291103
CSCO,2014-03-04,18.722,18.782,18.619,18.6876,35709590
CSCO,2014-03-05,18.7649,18.9193,18.7134,18.7906,28206193
CSCO,2014-03-06,18.722,18.8592,18.6619,18.7734,23573297
CSCO,2014-03-07,18.6447,18.8249,18.5847,18.8078,33180970
CSCO,2014-03-10,18.6104,18.722,18.5332,18.5589,26164042
CSCO,2014-03-11,18.5418,18.8163,18.516,18.7563,34645658
CSCO,2014-03-12,18.722,18.8078,18.4731,18.4731,31855258
CSCO,2014-03-13,18.4645,18.8078,18.4474,18.782,42144410
CSCO,2014-03-14,18.3186,18.5761,18.2586,18.4903,38256705
CSCO,2014-03-17,18.456,18.5504,18.25,18.3187,33221895
CSCO,2014-03-18,18.5589,18.6276,18.2672,18.3101,45849610
CSCO,2014-03-19,18.5589,18.7048,18.4946,18.6104,32674256
CSCO,2014-03-20,18.7305,18.8764,18.5246,18.5246,34952767
CSCO,2014-03-21,18.5675,18.9622,18.516,18.8249,97377342
CSCO,2014-03-24,18.5075,18.6962,18.4174,18.6018,32782091
CSCO,2014-03-25,19.1681,19.1853,18.5761,18.6104,53374279
CSCO,2014-03-26,19.151,19.4684,19.151,19.2539,67102413
CSCO,2014-03-27,18.8936,19.211,18.8249,18.9879,52152335
CSCO,2014-03-28,19.1595,19.3397,18.9193,18.9536,49289378
CSCO,2014-03-31,19.2325,19.4255,19.2196,19.2968,32887846
CSCO,2014-04-01,19.9897,20.1714,19.2974,19.3233,80113826
CSCO,2014-04-02,19.8945,20.0156,19.6954,19.9983,38323460
CSCO,2014-04-03,19.981,20.1584,19.9031,19.9464,30311153
CSCO,2014-04-04,19.6536,20.206,19.557,20.1454,49382348
CSCO,2014-04-07,19.7733,19.9637,19.4704,19.557,55317116
CSCO,2014-04-08,19.8512,19.8772,19.557,19.5916,37373940
CSCO,2014-04-09,20.007,20.18,19.8079,19.9031,37888567
CSCO,2014-04-10,19.6002,20.1281,19.4704,20.0502,53926961
CSCO,2014-04-11,19.4358,19.8945,19.4099,19.5137,47254044
CSCO,2014-04-14,19.7733,19.8512,19.4531,19.5829,35804789
CSCO,2014-04-15,19.8079,19.9031,19.5656,19.7647,29845393
CSCO,2014-04-16,19.9291,20.0329,19.756,19.9291,31451928
CSCO,2014-04-17,20.0848,20.1541,19.7127,19.9118,47813602
CSCO,2014-04-21,20.2493,20.4137,20.0589,20.0935,38796361
CSCO,2014-04-22,20.3531,20.431,20.2493,20.2752,28725094
CSCO,2014-04-23,20.3358,20.3964,20.1108,20.3531,29973292
CSCO,2014-04-24,20.1887,20.4569,20.1108,20.4569,33976746
CSCO,2014-04-25,19.9031,20.18,19.7993,20.1368,25087265
CSCO,2014-04-28,19.9204,20.1108,19.7214,20.0329,36817120
CSCO,2014-04-29,20.0416,20.0848,19.9507,20.0762,14582958
CSCO,2014-04-30,19.9983,20.0243,19.8339,19.9723,23979302
CSCO,2014-05-01,19.9118,20.0329,19.8252,20.0243,17463860
CSCO,2014-05-02,19.8512,20.007,19.8166,19.9983,18757383
CSCO,2014-05-05,19.8642,19.9031,19.6608,19.8166,17859321
CSCO,2014-05-06,19.6608,19.8079,19.5829,19.7647,21815152
CSCO,2014-05-07,19.7906,19.8166,19.4099,19.6608,38895231
CSCO,2014-05-08,19.9187,20.0502,19.6954,19.8166,32181435
CSCO,2014-05-09,19.9204,19.9983,19.8339,19.8685,22593850
CSCO,2014-05-12,20.0675,20.193,19.9031,19.9377,40217552
CSCO,2014-05-13,19.782,20.0848,19.6954,20.0243,57933097
CSCO,2014-05-14,19.7386,19.9477,19.5829,19.8339,59330114
CSCO,2014-05-15,20.9242,21.3656,20.8723,21.0021,120944457
CSCO,2014-05-16,21.0887,21.1536,20.8204,20.8896,40477610
CSCO,2014-05-19,21.0713,21.1536,20.8723,20.9762,39392687
CSCO,2014-05-20,20.8723,21.106,20.7858,20.9935,56321957
CSCO,2014-05-21,21.1838,21.3309,20.9156,20.9588,65262617
CSCO,2014-05-22,21.0973,21.2358,21.0194,21.1319,26751009
CSCO,2014-05-23,21.2185,21.2617,21.0713,21.0973,27778949
CSCO,2014-05-27,21.3829,21.53,21.3136,21.4088,32369061
CSCO,2014-05-28,21.4781,21.5732,21.3136,21.3136,28651605
CSCO,2014-05-29,21.3569,21.5646,21.2531,21.504,21644415
CSCO,2014-05-30,21.305,21.4175,21.1838,21.3829,29381576
CSCO,2014-06-02,21.4434,21.4608,21.2531,21.3223,20393395
CSCO,2014-06-03,21.3526,21.4781,21.1579,21.4175,23339056
CSCO,2014-06-04,21.2011,21.3309,21.1146,21.2963,20635113
CSCO,2014-06-05,21.3742,21.4088,21.1233,21.305,23320286
CSCO,2014-06-06,21.4867,21.5906,21.3829,21.4002,22485479
CSCO,2014-06-09,21.4608,21.5906,21.3915,21.4521,18819050
CSCO,2014-06-10,21.6338,21.7204,21.2877,21.4002,36581952
CSCO,2014-06-11,21.6684,21.7809,21.4521,21.504,36173954
CSCO,2014-06-12,21.3396,21.6425,21.305,21.5906,26900429
CSCO,2014-06-13,21.3742,21.4434,21.2877,21.3439,20947626
CSCO,2014-06-16,21.2271,21.4002,21.1579,21.2185,19251335
CSCO,2014-06-17,21.2011,21.305,21.1233,21.1925,17972802
CSCO,2014-06-18,21.3136,21.4175,21.1665,21.3742,24724403
CSCO,2014-06-19,21.3829,21.3829,21.1579,21.305,20646826
CSCO,2014-06-20,21.4867,21.5473,21.2963,21.3136,39707996
CSCO,2014-06-23,21.3742,21.5473,21.3309,21.4694,18752284
CSCO,2014-06-24,21.2271,21.4088,21.2185,21.305,24301971
CSCO,2014-06-25,21.3915,21.4434,21.1233,21.2444,22584002
CSCO,2014-06-26,21.3309,21.4651,21.1838,21.3396,19134751
CSCO,2014-06-27,21.3742,21.4391,21.1838,21.2877,35000284
CSCO,2014-06-30,21.504,21.5473,21.305,21.3483,23996086
CSCO,2014-07-01,21.7031,21.729,21.4348,21.6252,34613220
CSCO,2014-07-02,21.8251,21.921,21.6856,21.7728,30197226
CSCO,2014-07-03,21.9646,22.017,21.9123,21.9298,19598757
CSCO,2014-07-07,21.9995,22.017,21.7728,21.799,21293566
CSCO,2014-07-08,21.86,22.0693,21.8513,21.9821,34622899
CSCO,2014-07-09,22.1826,22.235,21.921,21.9908,35610460
CSCO,2014-07-10,22.1826,22.2524,21.9908,22.017,27278787
CSCO,2014-07-11,22.2524,22.3657,22.1826,22.2524,20945929
CSCO,2014-07-14,22.1826,22.3657,22.1478,22.3309,19244308
CSCO,2014-07-15,22.3832,22.3919,22.1129,22.1303,29495978
CSCO,2014-07-16,22.6535,22.7145,22.4355,22.4355,40476713
CSCO,2014-07-17,22.3483,22.6709,22.3003,22.5314,29570341
CSCO,2014-07-18,22.5925,22.6361,22.3832,22.4093,25465861
CSCO,2014-07-21,22.5401,22.6273,22.4268,22.575,20825966
CSCO,2014-07-22,22.6273,22.7407,22.5925,22.6273,28735712
CSCO,2014-07-23,22.3919,22.4878,22.2785,22.4268,28761335
CSCO,2014-07-24,22.5227,22.5837,22.3875,22.4791,21876611
CSCO,2014-07-25,22.6448,22.6884,22.3919,22.4965,28641293
CSCO,2014-07-28,22.6012,22.6709,22.296,22.4355,27686408
CSCO,2014-07-29,22.4181,22.6796,22.4006,22.5663,22444236
CSCO,2014-07-30,22.3483,22.5314,22.2088,22.5227,26124216
CSCO,2014-07-31,21.9995,22.235,21.9472,22.2175,28226460
CSCO,2014-08-01,21.799,21.9821,21.6246,21.921,28609413
CSCO,2014-08-04,21.9428,21.9908,21.6769,21.7467,17252442
CSCO,2014-08-05,21.7728,21.9036,21.6856,21.8164,21176784
CSCO,2014-08-06,21.7379,21.9821,21.6682,21.7379,20990550
CSCO,2014-08-07,21.6769,21.8949,21.5287,21.8077,24123698
CSCO,2014-08-08,21.8251,21.8513,21.5723,21.6856,21656527
CSCO,2014-08-11,21.9995,22.1216,21.8077,21.8774,25956067
CSCO,2014-08-12,21.9298,22.0344,21.799,21.9821,21934971
CSCO,2014-08-13,21.9734,22.0344,21.7379,21.9472,43224570
CSCO,2014-08-14,21.3979,21.7467,21.206,21.7467,63790214
CSCO,2014-08-15,21.302,21.5025,21.1624,21.5025,33625941
CSCO,2014-08-18,21.4763,21.5025,21.302,21.3543,27666914
CSCO,2014-08-19,21.4851,21.5287,21.4502,21.4763,20348896
CSCO,2014-08-20,21.5461,21.581,21.3804,21.4066,20229017
CSCO,2014-08-21,21.7031,21.7205,21.5548,21.581,20881827
CSCO,2014-08-22,21.4938,21.7728,21.4851,21.6856,22453672
CSCO,2014-08-25,21.5374,21.6595,21.5287,21.5374,19356815
CSCO,2014-08-26,21.6333,21.7379,21.5112,21.5374,17053449
CSCO,2014-08-27,21.6246,21.6769,21.5461,21.6159,15753794
CSCO,2014-08-28,21.6682,21.7118,21.4851,21.5374,15506352
CSCO,2014-08-29,21.7903,21.7903,21.5897,21.7118,17972307
CSCO,2014-09-02,21.6943,21.7946,21.581,21.7467,19836085
CSCO,2014-09-03,21.8338,21.9123,21.7292,21.7467,22043379
CSCO,2014-09-04,21.7205,21.921,21.6507,21.8687,20268911
CSCO,2014-09-05,21.799,21.86,21.6769,21.6769,19865202
CSCO,2014-09-08,21.7554,21.8774,21.6333,21.7379,14189834
CSCO,2014-09-09,21.6769,21.7728,21.4502,21.6943,19076594
CSCO,2014-09-10,21.7379,21.799,21.6595,21.6595,15738779
CSCO,2014-09-11,21.9559,21.9734,21.6682,21.7292,22106436
CSCO,2014-09-12,21.9385,22.0257,21.86,21.9385,33197323
CSCO,2014-09-15,21.8513,21.8774,21.6856,21.7554,33412035
CSCO,2014-09-16,21.9908,22.1608,21.7815,21.799,31902713
CSCO,2014-09-17,21.9777,22.0693,21.86,21.921,25703284
CSCO,2014-09-18,21.9908,22.0344,21.9298,21.9472,15939969
CSCO,2014-09-19,21.9734,22.0606,21.8077,21.9821,47343687
CSCO,2014-09-22,21.7728,21.9646,21.6769,21.9646,21346828
CSCO,2014-09-23,21.5374,21.8251,21.5112,21.6856,20750887
CSCO,2014-09-24,21.7815,21.8338,21.4763,21.5635,19700375
CSCO,2014-09-25,21.3979,21.7641,21.363,21.7641,27242027
CSCO,2014-09-26,21.799,21.8774,21.3281,21.363,29863678
CSCO,2014-09-29,21.9036,21.9734,21.5635,21.5635,28708554
CSCO,2014-09-30,22.1145,22.1848,21.8333,21.8773,36919335
CSCO,2014-10-01,21.9915,22.1848,21.9124,22.1408,44916150
CSCO,2014-10-02,22.0178,22.0618,21.7455,22.009,28334042
CSCO,2014-10-03,22.2375,22.2902,22.0003,22.1496,29038349
CSCO,2014-10-06,21.9739,22.3341,21.93,22.2726,23953106
CSCO,2014-10-07,21.6444,22.1877,21.6049,21.9739,29310234
CSCO,2014-10-08,21.6664,21.684,21.2447,21.5873,40348337
CSCO,2014-10-09,21.2534,21.6488,21.2447,21.5346,29343104
CSCO,2014-10-10,20.5066,21.0953,20.5066,21.0074,48313616
CSCO,2014-10-13,20.1464,20.6033,20.1464,20.4188,33227683
CSCO,2014-10-14,20.2562,20.5154,20.1728,20.2606,29321873
CSCO,2014-10-15,20.1728,20.3397,19.7598,20.0234,40079835
