symbol,date,close,high,low,open,volume
GDDY,2015-04-01,26.15,26.84,25.49,26.15,23177384
GDDY,2015-04-02,26.5,27.27,25.83,26.72,5166089
GDDY,2015-04-06,25.8,26.7999,25.35,26.72,2090996
GDDY,2015-04-07,25.24,25.85,25.16,25.84,939392
GDDY,2015-04-08,25.15,25.48,25,25.35,921678
GDDY,2015-04-09,26.32,26.47,25.05,25.1,751643
GDDY,2015-04-10,25.29,26.8,25,26.34,966330
GDDY,2015-04-13,25.37,25.59,25.12,25.24,347103
GDDY,2015-04-14,25.8,25.9,25.25,25.25,274632
GDDY,2015-04-15,25.12,26.05,25.03,25.88,355281
GDDY,2015-04-16,24.78,25.25,24.55,25.04,1111002
GDDY,2015-04-17,25.16,25.6,24.5,24.55,493387
GDDY,2015-04-20,25.14,25.49,25.04,25.19,322500
GDDY,2015-04-21,24.78,25.24,24.64,25.18,533220
GDDY,2015-04-22,24.77,24.88,24.73,24.76,190006
GDDY,2015-04-23,25.05,25.08,24.75,24.75,225874
GDDY,2015-04-24,25.63,25.66,24.9,24.9,370138
GDDY,2015-04-27,26.16,26.4,25.73,25.75,715610
GDDY,2015-04-28,25.15,26.22,24.87,26.22,474622
GDDY,2015-04-29,24.88,25.25,24.79,24.86,251329
GDDY,2015-04-30,25.07,25.42,24.9,24.9,149257
GDDY,2015-05-01,25.96,26.05,24.91,25.19,483248
GDDY,2015-05-04,25.98,26.25,25.6809,26,207399
GDDY,2015-05-05,25.42,26.1,25.29,25.96,185089
GDDY,2015-05-06,24.54,25.55,24.15,25.45,718167
GDDY,2015-05-07,24.81,25.49,24.525,24.69,363704
GDDY,2015-05-08,24.88,25.4,24.53,25.28,525728
GDDY,2015-05-11,25.68,26.29,25.57,26.25,1211112
GDDY,2015-05-12,26.77,27.73,25.75,26.1,2299841
GDDY,2015-05-13,26.5,27.5,26.4,26.69,1450009
GDDY,2015-05-14,26.23,27.1,26.12,26.64,445450
GDDY,2015-05-15,26.51,26.8899,26.05,26.23,423929
GDDY,2015-05-18,26.23,26.99,26.22,26.5,394173
GDDY,2015-05-19,25.94,26.5,25.5121,26.31,418264
GDDY,2015-05-20,26.38,26.8,25.89,25.89,315097
GDDY,2015-05-21,25.6,26.68,25.49,26.62,587512
GDDY,2015-05-22,26.1,26.65,25.75,25.75,519255
GDDY,2015-05-26,26.42,26.75,25.56,26.03,332874
GDDY,2015-05-27,26.98,27.21,26.39,26.5,348926
GDDY,2015-05-28,26.66,27.2,26.63,26.87,257487
GDDY,2015-05-29,26.93,27.07,26.335,26.62,276836
GDDY,2015-06-01,27.09,27.48,26.86,27.13,281249
GDDY,2015-06-02,27.63,28.15,27.0591,27.09,428989
GDDY,2015-06-03,28.91,29.06,27.805,27.85,493536
GDDY,2015-06-04,28.92,29.43,28.2,29,576317
GDDY,2015-06-05,28.69,29.1165,28.31,28.88,386998
GDDY,2015-06-08,29.1,29.7799,28.63,28.67,708710
GDDY,2015-06-09,29.5,29.63,28.64,29.18,550924
GDDY,2015-06-10,30.16,30.25,29.18,29.52,469204
GDDY,2015-06-11,29.69,30.86,29.65,30.18,488538
GDDY,2015-06-12,29.28,29.94,28.73,29.94,388824
GDDY,2015-06-15,29.41,29.85,29,29.14,379049
GDDY,2015-06-16,30.46,30.71,29.19,29.32,635382
GDDY,2015-06-17,30.54,30.64,30.2,30.59,645492
GDDY,2015-06-18,31.35,31.75,30.68,30.69,890692
GDDY,2015-06-19,31.8,33,31.189,31.37,2050121
GDDY,2015-06-22,31.36,32.1,30.79,32.1,502240
GDDY,2015-06-23,31.82,32.03,31.25,31.34,471128
GDDY,2015-06-24,31.46,32.06,31.25,31.84,423597
GDDY,2015-06-25,31.01,31.78,30.67,31.56,432456
GDDY,2015-06-26,29.54,30.96,29.37,30.96,1697514
GDDY,2015-06-29,28.18,29.5,27.92,29.28,824011
GDDY,2015-06-30,28.19,28.92,27.65,28.26,665956
GDDY,2015-07-01,28.29,28.9,28.17,28.49,1241751
GDDY,2015-07-02,27.14,28.29,26.89,28.29,1284265
GDDY,2015-07-06,27.27,27.8,26.39,26.85,1010169
GDDY,2015-07-07,26.83,27.4699,26.72,27.14,1233025
GDDY,2015-07-08,26.08,26.755,25.73,26.69,1291634
GDDY,2015-07-09,26.61,26.82,26.18,26.21,636361
GDDY,2015-07-10,26.98,27.2,26.7,27.07,539941
GDDY,2015-07-13,26.65,27.51,26.26,27.25,387079
GDDY,2015-07-14,26.95,27,26.44,26.51,355074
GDDY,2015-07-15,26.43,26.965,26.11,26.81,319961
GDDY,2015-07-16,26.69,26.88,26.45,26.45,299048
GDDY,2015-07-17,26.29,26.96,26.05,26.74,617048
GDDY,2015-07-20,26.6,26.69,25.702,26.24,649171
GDDY,2015-07-21,26.65,26.89,26.23,26.48,236903
GDDY,2015-07-22,26.98,27.02,26.45,26.45,337692
GDDY,2015-07-23,26.91,27.2,26.6,26.91,325996
GDDY,2015-07-24,26.54,27.13,26.42,27.03,278665
GDDY,2015-07-27,26.04,26.4,25.73,26.4,300331
GDDY,2015-07-28,27.12,27.32,26.2,26.2,930236
GDDY,2015-07-29,27.31,27.5,26.53,27.01,488339
GDDY,2015-07-30,27.65,27.75,26.73,27.32,262779
GDDY,2015-07-31,28.44,29,27.52,27.75,793623
GDDY,2015-08-03,28.39,28.68,27.54,28.45,501159
GDDY,2015-08-04,28.58,28.8,28.19,28.32,451347
GDDY,2015-08-05,29.47,29.84,28.6001,28.71,996232
GDDY,2015-08-06,26.22,28.78,26.11,28.13,2301559
GDDY,2015-08-07,26.34,27.1,26.15,26.35,664911
GDDY,2015-08-10,26.22,26.74,26.1,26.44,366477
GDDY,2015-08-11,26,26.53,25.79,26,243387
GDDY,2015-08-12,26.33,26.63,25.32,26.05,712736
GDDY,2015-08-13,26.1,26.84,25.98,26.28,522655
GDDY,2015-08-14,26.21,26.35,25.95,26.13,363459
GDDY,2015-08-17,27.4,27.47,25.91,26.25,473773
GDDY,2015-08-18,27.22,27.78,26.85,27.5,352427
GDDY,2015-08-19,27,27.37,26.81,27.08,398958
GDDY,2015-08-20,26.25,26.998,26.14,26.87,661968
GDDY,2015-08-21,25.1,26.116,25.01,26.1,976476
GDDY,2015-08-24,25.4,26.51,21.04,23.86,1057259
GDDY,2015-08-25,25.18,26.3799,25.15,25.5,584575
GDDY,2015-08-26,25.74,25.88,25.12,25.3,383156
GDDY,2015-08-27,26.37,26.93,25.67,25.94,469339
GDDY,2015-08-28,25.91,26.612,25.14,26.35,280657
GDDY,2015-08-31,25.08,25.79,24.85,25.78,703670
GDDY,2015-09-01,24.92,25.3,24.54,24.66,631086
GDDY,2015-09-02,24.64,25.3,23.6,25.3,878604
GDDY,2015-09-03,24.87,25.31,24.32,24.74,477300
GDDY,2015-09-04,24.69,24.94,24.04,24.65,535699
GDDY,2015-09-08,25.77,26,24.77,24.84,425960
GDDY,2015-09-09,25.46,26.39,25.19,25.84,725217
GDDY,2015-09-10,24.71,25.52,24.32,25.33,788971
GDDY,2015-09-11,25.21,25.43,24.5494,24.67,326242
GDDY,2015-09-14,25.21,25.49,24.9,25.24,184224
GDDY,2015-09-15,24.81,25.31,24.4,25.16,238956
GDDY,2015-09-16,24.25,24.91,23.94,24.91,554758
GDDY,2015-09-17,25.28,25.39,24.1,24.2,578130
GDDY,2015-09-18,24.88,25.15,24.48,25.09,465359
GDDY,2015-09-21,24.62,25.04,24.27,24.92,382770
GDDY,2015-09-22,24.51,24.57,24.17,24.21,422138
GDDY,2015-09-23,25.12,25.36,24.52,24.8,346620
GDDY,2015-09-24,25.61,25.65,24.8,24.95,580549
GDDY,2015-09-25,25.72,26.64,25.4701,25.89,715291
GDDY,2015-09-28,24.6,25.36,23.4,24.88,1871473
