symbol,date,close,high,low,open,volume
GE,2013-10-07,20.2527,20.4135,20.1343,20.1682,28974564
GE,2013-10-08,20.0243,20.2358,20.0243,20.2358,42610222
GE,2013-10-09,19.9397,20.1682,19.8805,20.1682,35095512
GE,2013-10-10,20.515,20.515,20.1512,20.2189,38162745
GE,2013-10-11,20.6419,20.718,20.4727,20.5742,34175109
GE,2013-10-14,20.625,20.625,20.4389,20.4812,22023311
GE,2013-10-15,20.4642,20.68,20.4304,20.5319,28352437
GE,2013-10-16,20.6081,20.6419,20.4135,20.5996,30116337
GE,2013-10-17,20.8788,20.8788,20.4981,20.625,45374889
GE,2013-10-18,21.6148,21.784,21.2256,21.3271,98515786
GE,2013-10-21,22.1139,22.2916,21.8178,21.8855,60783265
GE,2013-10-22,22.0124,22.1985,21.9785,22.1562,43281218
GE,2013-10-23,21.7417,21.9955,21.6909,21.987,39520302
GE,2013-10-24,21.9447,22.0124,21.7163,21.8601,34619086
GE,2013-10-25,21.894,22.0631,21.8263,22.0547,27358600
GE,2013-10-28,22.0716,22.1308,21.7924,21.894,31486723
GE,2013-10-29,22.1731,22.2493,22.0547,22.1562,38421060
GE,2013-10-30,22.3085,22.4015,22.1562,22.2408,39812215
GE,2013-10-31,22.1139,22.3677,22.097,22.2916,42831025
GE,2013-11-01,22.4523,22.5327,22.0208,22.0378,55635425
GE,2013-11-04,22.3592,22.4946,22.2577,22.4946,28167762
GE,2013-11-05,22.3508,22.4354,22.2154,22.2662,24878895
GE,2013-11-06,22.7569,22.8245,22.3762,22.3931,58645020
GE,2013-11-07,22.5031,23.0022,22.5031,22.7907,59523373
GE,2013-11-08,22.8837,22.8922,22.3339,22.3508,37709323
GE,2013-11-11,22.8499,22.8753,22.7484,22.8584,23837715
GE,2013-11-12,22.8837,22.9599,22.6807,22.7738,37560243
GE,2013-11-13,22.9683,22.9683,22.63,22.816,34368845
GE,2013-11-14,22.833,23.0106,22.723,22.9683,32425183
GE,2013-11-15,23.0106,23.2052,22.8161,22.8499,51698463
GE,2013-11-18,23.0276,23.2644,22.9345,23.0783,39087309
GE,2013-11-19,22.8668,23.1206,22.7695,22.9514,35722019
GE,2013-11-20,22.8076,22.9853,22.7399,22.833,30288795
GE,2013-11-21,22.7653,22.8584,22.6384,22.8584,30369466
GE,2013-11-22,22.9091,22.9176,22.7188,22.7315,22050921
GE,2013-11-25,22.613,22.9853,22.613,22.9599,32343094
GE,2013-11-26,22.6553,22.7949,22.6046,22.6046,36555553
GE,2013-11-27,22.6976,22.7569,22.63,22.6976,22707733
GE,2013-11-29,22.5538,22.7315,22.5284,22.63,21405931
GE,2013-12-02,22.5538,22.6173,22.4692,22.5454,34650696
GE,2013-12-03,22.4692,22.5031,22.2831,22.5031,32748678
GE,2013-12-04,22.5369,22.5559,22.1647,22.2831,44947108
GE,2013-12-05,22.3762,22.5369,22.2873,22.5284,28459432
GE,2013-12-06,22.7907,22.8245,22.5707,22.6469,25347275
GE,2013-12-09,23.0022,23.1206,22.7399,22.7822,30729948
GE,2013-12-10,22.9599,23.168,22.9007,22.9176,30864694
GE,2013-12-11,22.4861,22.9514,22.4523,22.9345,40161371
GE,2013-12-12,22.4523,22.5877,22.4015,22.4185,30960207
GE,2013-12-13,22.7061,22.7907,22.4269,22.4946,39833678
GE,2013-12-16,22.8245,22.9176,22.7315,22.7907,40160001
GE,2013-12-17,22.8668,22.9599,22.7907,22.926,36632649
GE,2013-12-18,23.1883,23.2391,22.7061,22.8668,55268819
GE,2013-12-19,23.2992,23.3674,22.877,23.1712,50749383
GE,2013-12-20,23.3333,23.4271,23.0433,23.2565,78154776
GE,2013-12-23,23.3674,23.4441,23.2565,23.3931,29903353
GE,2013-12-24,23.5465,23.5891,23.3333,23.3503,15109682
GE,2013-12-26,23.7341,23.845,23.538,23.6062,24768806
GE,2013-12-27,23.7341,23.8278,23.6744,23.7426,18992012
GE,2013-12-30,23.7853,23.862,23.7085,23.7426,23839381
GE,2013-12-31,23.9047,23.9558,23.7341,23.7938,30312595
GE,2014-01-02,23.4527,23.8279,23.3759,23.7597,41503781
GE,2014-01-03,23.4356,23.538,23.3759,23.4697,27575932
GE,2014-01-06,23.248,23.6446,23.1542,23.5891,29366264
GE,2014-01-07,23.2736,23.4441,23.2053,23.4356,24745856
GE,2014-01-08,23.2053,23.3333,23.1286,23.3247,25872072
GE,2014-01-09,23.2139,23.3333,22.9666,23.3077,31319824
GE,2014-01-10,22.9921,23.2224,22.9069,23.1883,38856831
GE,2014-01-13,22.796,23.1115,22.7534,23.0092,34457965
GE,2014-01-14,23.0007,23.0263,22.8045,22.8898,24954330
GE,2014-01-15,23.3162,23.3674,23.0348,23.1542,31886756
GE,2014-01-16,23.1968,23.2565,23.0902,23.2139,32691427
GE,2014-01-17,22.6681,22.958,22.4122,22.9239,97353043
GE,2014-01-21,22.4208,22.8045,22.2084,22.796,59981683
GE,2014-01-22,22.1649,22.4378,22.1649,22.4293,48771276
GE,2014-01-23,22.0199,22.1564,21.7726,22.1564,58062966
GE,2014-01-24,21.278,21.8238,21.278,21.8067,95835536
GE,2014-01-27,21.3803,21.5679,21.2353,21.5423,60605337
GE,2014-01-28,21.7129,21.8494,21.5765,21.602,50485045
GE,2014-01-29,21.5679,21.7641,21.4571,21.6106,39649968
GE,2014-01-30,21.747,21.8238,21.602,21.747,30138917
GE,2014-01-31,21.4315,21.6447,21.3846,21.4997,40348900
GE,2014-02-03,20.7663,21.4997,20.7407,21.4315,75524630
GE,2014-02-04,20.9539,21.133,20.8089,20.9198,45872266
GE,2014-02-05,20.9113,21.0136,20.7407,20.8601,40282070
GE,2014-02-06,21.278,21.4059,20.9965,21.15,44732148
GE,2014-02-07,21.4826,21.5594,21.3206,21.4912,34938473
GE,2014-02-10,21.3633,21.6532,21.2609,21.6532,33039861
GE,2014-02-11,21.6873,21.7641,21.4571,21.4997,32660957
GE,2014-02-12,21.6532,21.8579,21.6191,21.8067,25231309
GE,2014-02-13,21.6959,21.6959,21.4144,21.5168,32397948
GE,2014-02-14,21.9517,22.0455,21.6447,21.6788,25088460
GE,2014-02-18,21.8749,22.2075,21.8749,22.182,29255694
GE,2014-02-19,21.6617,21.9773,21.6319,21.9005,33918343
GE,2014-02-20,21.6101,21.7822,21.5241,21.7736,32303682
GE,2014-02-21,21.4553,21.6703,21.4553,21.6101,37175680
GE,2014-02-24,21.7564,21.894,21.4725,21.5241,38053572
GE,2014-02-25,21.7392,21.9198,21.6531,21.8338,33101400
GE,2014-02-26,21.765,21.8166,21.5929,21.7908,29785491
GE,2014-02-27,21.937,21.9886,21.6359,21.6875,22835227
GE,2014-02-28,21.9112,22.1005,21.7736,21.9714,29454880
GE,2014-03-03,21.6101,21.6875,21.4381,21.6875,34211568
GE,2014-03-04,22.0661,22.1349,21.9055,21.9542,36679375
GE,2014-03-05,22.3069,22.3327,22.0661,22.1779,30166194
GE,2014-03-06,22.5564,22.608,22.3844,22.4188,34919127
GE,2014-03-07,22.479,22.6683,22.3413,22.651,27291285
GE,2014-03-10,22.4016,22.479,22.2252,22.4704,22291880
GE,2014-03-11,22.2811,22.452,22.1607,22.4188,24865819
GE,2014-03-12,22.1607,22.2209,22.0489,22.0919,23490830
GE,2014-03-13,21.7994,22.3672,21.6832,22.3672,37865067
GE,2014-03-14,21.6015,21.8338,21.5843,21.7219,29461326
GE,2014-03-17,21.8768,22.0489,21.7219,21.7306,45614022
GE,2014-03-18,22.0661,22.1349,21.9112,21.9542,23785108
GE,2014-03-19,21.7478,22.1091,21.6015,22.0575,35246796
GE,2014-03-20,21.7392,21.8252,21.6101,21.8252,35712324
GE,2014-03-21,21.851,22.2209,21.7994,22.1005,55183747
GE,2014-03-24,21.8596,21.9628,21.6789,21.9284,31150695
GE,2014-03-25,22.1091,22.1177,21.8424,22.0058,31154474
GE,2014-03-26,22.0403,22.2983,22.023,22.1951,31830078
GE,2014-03-27,22.2037,22.2381,21.9456,22.0058,29636377
GE,2014-03-28,22.2639,22.3844,22.1779,22.2811,29691350
GE,2014-03-31,22.2725,22.436,22.2037,22.3844,32088936
GE,2014-04-01,22.2553,22.3586,22.1521,22.2209,28498551
GE,2014-04-02,22.4016,22.4188,22.2553,22.2983,26402893
GE,2014-04-03,22.565,22.5865,22.4102,22.4962,22259442
GE,2014-04-04,22.3844,22.7113,22.3586,22.6855,33140846
GE,2014-04-07,22.2381,22.4016,22.1435,22.3241,30438901
GE,2014-04-08,22.1521,22.2983,22.0833,22.1607,26915914
GE,2014-04-09,22.3241,22.3327,22.0144,22.2467,25180827
GE,2014-04-10,22.0058,22.4618,21.9972,22.4446,36293724
GE,2014-04-11,21.8768,22.1564,21.8768,21.9456,37325453
GE,2014-04-14,22.1177,22.1521,21.8768,22.0058,25069295
GE,2014-04-15,22.2123,22.2725,22.0058,22.0833,30287260
GE,2014-04-16,22.4704,22.5392,22.2725,22.3758,33496560
GE,2014-04-17,22.8489,23.021,22.7543,22.7715,69658555
GE,2014-04-21,22.8747,22.978,22.8489,22.9091,25131286
GE,2014-04-22,22.8661,23.0296,22.8575,22.9693,27798778
GE,2014-04-23,22.7285,22.9349,22.7027,22.8575,29567135
GE,2014-04-24,22.7629,22.9177,22.5651,22.7457,25578133
GE,2014-04-25,22.8833,23.0554,22.8403,22.8575,33753008
GE,2014-04-28,23.0382,23.0984,22.8231,22.9866,34567018
GE,2014-04-29,23.021,23.1242,22.8747,23.0812,27676160
GE,2014-04-30,23.1328,23.1414,22.9263,23.0554,29165081
GE,2014-05-01,23.0296,23.0811,22.9177,22.9952,25779732
GE,2014-05-02,22.9521,23.1156,22.9349,23.0296,23473487
GE,2014-05-05,22.8661,22.9607,22.7973,22.9607,16591956
GE,2014-05-06,22.5306,22.8231,22.5306,22.8059,25034230
GE,2014-05-07,22.8231,22.8231,22.5994,22.5994,24322399
GE,2014-05-08,22.7457,22.8833,22.6252,22.7801,20888629
GE,2014-05-09,22.7285,22.8575,22.6338,22.8489,17437883
GE,2014-05-12,23.0984,23.107,22.8059,22.8661,23713635
GE,2014-05-13,23.1586,23.1844,23.0309,23.1328,20482913
GE,2014-05-14,23.021,23.1904,22.9435,23.15,20741637
GE,2014-05-15,22.8833,23.0554,22.6424,22.9866,33783058
GE,2014-05-16,22.9435,22.9521,22.6855,22.7887,28842696
