symbol,date,close,high,low,open,volume
INTC,2013-10-07,19.6679,19.8143,19.4439,19.5645,21321403
INTC,2013-10-08,19.3664,19.711,19.3664,19.7023,36171657
INTC,2013-10-09,19.4611,19.7799,19.3664,19.3922,40414820
INTC,2013-10-10,19.9005,20.0039,19.7454,19.8014,39189449
INTC,2013-10-11,20.034,20.0383,19.6593,19.6679,24550617
INTC,2013-10-14,20.202,20.2365,19.8402,19.8876,27176739
INTC,2013-10-15,20.1503,20.3226,20.09,20.1589,42957663
INTC,2013-10-16,20.4131,20.4518,20.0039,20.0383,47723436
INTC,2013-10-17,20.6069,20.6241,20.2365,20.314,28694879
INTC,2013-10-18,20.5681,20.6586,20.4002,20.5552,29579081
INTC,2013-10-21,20.7921,20.8223,20.5165,20.6241,35297562
INTC,2013-10-22,20.737,20.8481,20.6844,20.8223,29010789
INTC,2013-10-23,20.4475,20.7189,20.2968,20.6155,31651063
INTC,2013-10-24,20.4863,20.65,20.4863,20.5552,47590182
INTC,2013-10-25,20.8783,20.8826,20.6931,20.7706,59634667
INTC,2013-10-28,20.986,21.098,20.8223,20.8309,65581627
INTC,2013-10-29,21.1264,21.253,20.9765,21.0204,29961745
INTC,2013-10-30,21.1023,21.2573,21.0204,21.1324,24096164
INTC,2013-10-31,21.0807,21.3047,21.0463,21.1238,30902030
INTC,2013-11-01,20.9558,21.2358,20.8654,21.1152,28305937
INTC,2013-11-04,20.8955,21.0204,20.8051,20.9515,26639821
INTC,2013-11-05,20.8955,20.9651,20.6694,20.7999,22849924
INTC,2013-11-06,21.0825,21.139,20.7738,20.9216,25525728
INTC,2013-11-07,20.9207,21.1999,20.8694,21.1912,25631064
INTC,2013-11-08,20.9477,20.9694,20.7303,20.8955,31502897
INTC,2013-11-11,21.0164,21.1216,20.8085,20.9042,19236745
INTC,2013-11-12,21.2433,21.3042,20.852,20.8607,37816024
INTC,2013-11-13,21.3912,21.4085,21.0433,21.0868,22990316
INTC,2013-11-14,21.2042,21.3042,21.1738,21.2433,20198931
INTC,2013-11-15,21.3216,21.3477,21.0868,21.2172,22866454
INTC,2013-11-18,21.3912,21.4781,21.2868,21.3998,24712483
INTC,2013-11-19,21.4781,21.6259,21.3998,21.5129,24870201
INTC,2013-11-20,21.3564,21.5825,21.2694,21.4781,20288748
INTC,2013-11-21,21.939,21.9911,21.3216,21.3998,44050581
INTC,2013-11-22,20.7564,21.3129,20.7303,21.3042,77908144
INTC,2013-11-25,20.652,20.8868,20.4346,20.8868,43394042
INTC,2013-11-26,20.5651,20.7259,20.452,20.7216,30602711
INTC,2013-11-27,20.7825,20.7999,20.452,20.5564,28419157
INTC,2013-11-29,20.7303,20.8607,20.6607,20.7999,13802865
INTC,2013-12-02,20.6085,20.8694,20.5651,20.8694,25686740
INTC,2013-12-03,20.4781,20.6346,20.3477,20.5999,35072177
INTC,2013-12-04,20.6433,20.739,20.452,20.4694,43501471
INTC,2013-12-05,21.0955,21.1738,20.652,20.7129,45404927
INTC,2013-12-06,21.5825,21.9564,21.5216,21.7129,53874561
INTC,2013-12-09,21.6781,21.8085,21.4607,21.5999,29618358
INTC,2013-12-10,21.5825,21.7129,21.4433,21.6433,18203665
INTC,2013-12-11,21.2346,21.6346,21.2172,21.5129,24682422
INTC,2013-12-12,21.2781,21.6433,21.2346,21.4955,21917817
INTC,2013-12-13,21.1216,21.2955,21.0042,21.0477,20634285
INTC,2013-12-16,21.2607,21.4868,21.1564,21.1564,25061185
INTC,2013-12-17,21.439,21.539,21.1999,21.2346,28165241
INTC,2013-12-18,21.8694,21.9129,21.3303,21.4868,42686950
INTC,2013-12-19,21.8607,21.9477,21.6433,21.8433,31880650
INTC,2013-12-20,21.7868,22.0433,21.7738,21.8346,55383979
INTC,2013-12-23,22.0172,22.1129,21.8955,21.9738,28120814
INTC,2013-12-24,22.1129,22.2781,22.0433,22.0694,12157877
INTC,2013-12-26,22.3477,22.3477,22.1129,22.1129,16958540
INTC,2013-12-27,22.2607,22.4346,22.1564,22.3911,12972781
INTC,2013-12-30,22.4781,22.4781,22.2607,22.3216,19788908
INTC,2013-12-31,22.5694,22.6433,22.4085,22.4433,22809682
INTC,2014-01-02,22.4259,22.452,22.1477,22.4172,31843697
INTC,2014-01-03,22.4172,22.5216,22.2607,22.4868,27803865
INTC,2014-01-06,22.139,22.4259,22.1303,22.4085,31831801
INTC,2014-01-07,22.2477,22.3738,22.1433,22.2085,19684835
INTC,2014-01-08,22.1129,22.3564,21.9998,22.2955,29685075
INTC,2014-01-09,22.0085,22.2172,21.9564,22.1042,20888496
INTC,2014-01-10,22.1998,22.4781,22.1738,22.1738,30620993
INTC,2014-01-13,22.1738,22.5998,22.1042,22.2868,40304830
INTC,2014-01-14,23.052,23.0868,22.5216,22.6085,74158157
INTC,2014-01-15,23.1911,23.581,23.139,23.2346,58315241
INTC,2014-01-16,23.0781,23.252,22.8911,23.1651,49521751
INTC,2014-01-17,22.4781,22.4868,21.9564,22.052,112538007
INTC,2014-01-21,22.252,22.4346,21.9738,22.4259,42325495
INTC,2014-01-22,22.0085,22.2085,21.8694,22.0781,48797804
INTC,2014-01-23,21.852,21.9564,21.652,21.8868,40281051
INTC,2014-01-24,21.5738,21.9051,21.5564,21.6346,35200630
INTC,2014-01-27,21.4955,21.7303,21.4433,21.539,32582499
INTC,2014-01-28,21.652,21.7781,21.3651,21.4868,32485557
INTC,2014-01-29,21.4607,21.7042,21.4172,21.5216,27180053
INTC,2014-01-30,21.5129,21.6433,21.339,21.5216,24624111
INTC,2014-01-31,21.339,21.4346,21.2172,21.2607,28858179
INTC,2014-02-03,20.8259,21.3129,20.7738,21.3042,52928170
INTC,2014-02-04,20.7129,20.8998,20.5042,20.8607,50888089
INTC,2014-02-05,20.6471,20.8577,20.6295,20.8051,32484587
INTC,2014-02-06,21.0597,21.1387,20.6734,20.7173,28049363
INTC,2014-02-07,21.2484,21.2967,20.8665,21.244,30885856
INTC,2014-02-10,21.323,21.3932,21.1211,21.165,24571791
INTC,2014-02-11,21.481,21.5205,21.3581,21.3757,17947958
INTC,2014-02-12,21.5512,21.6741,21.3932,21.5161,25925263
INTC,2014-02-13,21.6829,21.718,21.3406,21.4459,22940043
INTC,2014-02-14,21.7312,21.7356,21.4283,21.5732,20592672
INTC,2014-02-18,21.7356,21.7532,21.5512,21.6566,17749250
INTC,2014-02-19,21.5074,21.7005,21.4371,21.639,25743616
INTC,2014-02-20,21.718,21.8146,21.5074,21.5425,20230664
INTC,2014-02-21,21.4371,21.9112,21.3757,21.9024,30617671
INTC,2014-02-24,21.6215,21.8409,21.4283,21.5161,24173569
INTC,2014-02-25,21.6127,21.6917,21.4722,21.6566,21613463
INTC,2014-02-26,21.7707,21.9287,21.6039,21.718,19820163
INTC,2014-02-27,21.7356,21.7707,21.5161,21.7707,20866873
INTC,2014-02-28,21.7356,21.8102,21.5688,21.7619,23483725
