symbol,date,close,high,low,open,volume
INTU,2013-10-07,62.7651,62.9736,61.8081,62.2914,2263064
INTU,2013-10-08,62.1474,62.9457,61.8814,62.8126,2223128
INTU,2013-10-09,62.0429,62.3945,61.8909,62.271,2119243
INTU,2013-10-10,62.5276,62.8411,62.214,62.6416,2104871
INTU,2013-10-11,63.6014,63.6014,62.1284,62.1284,2047689
INTU,2013-10-14,64.0765,64.124,62.7271,63.4018,2008960
INTU,2013-10-15,63.4398,64.0575,63.4113,63.7724,2227755
INTU,2013-10-16,63.6679,63.991,63.3353,63.6964,2027109
INTU,2013-10-17,64.6181,64.6486,63.3828,63.5633,1761593
INTU,2013-10-18,65.3213,65.6824,65.2073,65.3403,2554661
INTU,2013-10-21,65.5779,65.749,65.1693,65.2643,1245399
INTU,2013-10-22,66.015,66.0768,65.4069,65.5969,1874019
INTU,2013-10-23,65.7395,66.0435,65.5494,65.8155,1306088
INTU,2013-10-24,66.3476,66.7087,65.6824,65.7585,1996698
INTU,2013-10-25,66.9368,67.0033,66.3286,66.6992,1718896
INTU,2013-10-28,67.3169,67.4689,66.7467,67.0033,1180372
INTU,2013-10-29,67.9251,68.2292,67.4025,67.64,1441450
INTU,2013-10-30,67.9061,68.2292,67.659,67.9441,1467222
INTU,2013-10-31,67.8585,68.3907,67.811,68.1246,1996719
INTU,2013-11-01,67.7825,68.4192,67.602,68.2006,2376667
INTU,2013-11-04,67.8585,67.9346,67.2884,67.8205,1504829
INTU,2013-11-05,68.1911,68.2719,67.4547,67.83,1712389
INTU,2013-11-06,68.6473,68.8468,67.9536,68.1151,1334160
INTU,2013-11-07,68.1151,69.0179,68.0866,68.7138,1195271
INTU,2013-11-08,68.8753,68.8848,68.2767,68.2862,1862402
INTU,2013-11-11,68.6805,69.0179,68.2387,68.6663,1302658
INTU,2013-11-12,68.8088,68.8468,68.3717,68.6093,1049890
INTU,2013-11-13,69.3315,69.3315,68.3622,68.9704,2645918
INTU,2013-11-14,69.5215,69.6451,68.6758,69.322,1606170
INTU,2013-11-15,70.0062,70.0632,69.2364,69.626,1832428
INTU,2013-11-18,69.7591,70.2627,69.512,70.0632,1784305
INTU,2013-11-19,69.7116,70.2057,69.4075,69.9301,1130855
INTU,2013-11-20,69.5025,69.9871,69.3505,69.9871,1837906
INTU,2013-11-21,69.5215,69.7401,68.7328,69.417,2359453
INTU,2013-11-22,68.4477,69.5215,67.3454,69.303,4434623
INTU,2013-11-25,69.1129,69.36,68.1816,68.7043,2521218
INTU,2013-11-26,69.2174,69.7876,68.9514,68.9609,2014713
INTU,2013-11-27,69.8826,69.9776,69.3125,69.4265,1445193
INTU,2013-11-29,70.5383,70.6333,70.0632,70.1297,1377704
INTU,2013-12-02,70.5383,71.0705,70.1962,70.4718,2028176
INTU,2013-12-03,70.6618,71.061,70.2437,70.5003,1647086
INTU,2013-12-04,70.6428,70.8424,69.8161,70.1487,1548747
INTU,2013-12-05,70.3292,70.6808,70.1677,70.5193,1424760
INTU,2013-12-06,71.1845,71.2985,70.5763,71.0514,1463352
INTU,2013-12-09,70.6998,71.1845,70.4338,71.1465,1631885
INTU,2013-12-10,71.27,71.8592,70.5573,71.7546,2112134
INTU,2013-12-11,70.8234,71.8402,70.7521,71.5076,1750694
INTU,2013-12-12,70.5383,70.8994,70.0537,70.6713,1639191
INTU,2013-12-13,71.289,71.5076,70.8709,70.9089,1698079
INTU,2013-12-16,71.1417,71.7166,70.8994,71.251,2071241
INTU,2013-12-17,70.9754,71.3175,70.8234,71.251,1653390
INTU,2013-12-18,72.0397,72.0492,70.3387,70.6998,2327418
INTU,2013-12-19,71.9257,72.4198,71.7594,72.1918,1879235
INTU,2013-12-20,71.5361,72.5339,71.5076,72.2013,6408262
INTU,2013-12-23,72.5244,72.8379,71.7451,71.8877,1361985
INTU,2013-12-24,72.6194,72.7619,72.4293,72.6954,393461
INTU,2013-12-26,72.5529,72.895,72.2013,72.4198,581299
INTU,2013-12-27,72.3058,73.066,72.2108,72.5624,698367
INTU,2013-12-30,72.7619,73.0185,72.4483,72.8189,838059
INTU,2013-12-31,72.5244,72.9425,72.2915,72.7429,1040829
INTU,2014-01-02,72.1633,72.3723,71.6502,72.3248,1355681
INTU,2014-01-03,72.0302,72.579,71.7737,71.9827,998796
INTU,2014-01-06,71.9732,72.2203,71.7166,72.0302,1268747
INTU,2014-01-07,73.2276,73.5031,71.9732,72.1062,1551004
INTU,2014-01-08,72.818,73.3991,72.4083,73.2466,2437575
INTU,2014-01-09,72.999,73.3514,72.7036,73.1609,1129974
INTU,2014-01-10,72.6274,73.3133,72.2416,73.2562,1165247
INTU,2014-01-13,71.4557,72.6084,71.2744,72.3798,1108979
INTU,2014-01-14,72.456,72.475,71.5891,71.7701,1113718
INTU,2014-01-15,73.1419,73.561,72.3512,72.6179,1285609
INTU,2014-01-16,73.1514,73.4943,72.7418,72.837,1470461
INTU,2014-01-17,73.3419,73.9039,72.456,72.456,1764541
INTU,2014-01-21,72.5703,74.0945,72.4988,74.0468,1229463
INTU,2014-01-22,71.9892,72.5465,71.6072,72.4083,2855285
INTU,2014-01-23,71.751,72.1511,71.3033,71.5034,1339296
INTU,2014-01-24,69.7696,71.8558,69.7029,71.551,1778846
INTU,2014-01-27,69.5981,70.0077,69.379,69.7124,1670696
INTU,2014-01-28,69.9982,70.6079,69.7124,69.8744,1776490
INTU,2014-01-29,69.7124,70.4841,69.4362,69.8077,1618529
INTU,2014-01-30,70.6746,71.027,69.7315,69.9887,1140757
INTU,2014-01-31,69.7791,70.0649,69.2171,69.7886,2103797
INTU,2014-02-03,67.4547,70.2935,67.3595,70.0077,2489320
INTU,2014-02-04,67.55,67.7977,67.3499,67.5976,1732344
INTU,2014-02-05,67.3976,67.6453,67.0261,67.1975,1462666
INTU,2014-02-06,67.6643,67.9787,67.3785,67.3785,1590602
INTU,2014-02-07,68.0644,68.3311,67.6453,67.912,2114269
INTU,2014-02-10,68.0644,68.1787,67.6262,68.1501,1774811
INTU,2014-02-11,69.2742,69.541,68.0168,68.0168,1853927
INTU,2014-02-12,66.4164,69.2742,65.7496,68.112,5067136
INTU,2014-02-13,67.369,67.4071,65.8448,66.1973,3164918
INTU,2014-02-14,68.293,68.4645,66.988,67.2071,2491967
INTU,2014-02-18,69.5886,69.7886,68.2835,68.4931,2489526
INTU,2014-02-19,69.9411,70.3983,69.4076,69.722,2361125
INTU,2014-02-20,70.3507,70.6746,69.5791,70.1792,1894402
INTU,2014-02-21,73.5801,75.009,70.6841,71.8939,5414287
INTU,2014-02-24,73.742,74.4755,72.7894,73.0371,2680194
INTU,2014-02-25,73.6658,73.9802,73.018,73.8754,1531355
INTU,2014-02-26,74.0183,77.3619,73.5705,77.3619,1233136
INTU,2014-02-27,74.3993,74.4565,73.4372,73.9897,1289454
INTU,2014-02-28,74.4469,74.5898,73.6086,73.7229,2318097
INTU,2014-03-03,74.1802,75.009,73.5705,74.8661,1622275
INTU,2014-03-04,77.0762,77.3905,74.7851,74.8089,3061292
INTU,2014-03-05,76.8094,77.0571,76.3236,77.0571,1884924
INTU,2014-03-06,76.9047,77.2762,76.6284,76.6379,1297875
INTU,2014-03-07,78.305,78.4765,76.7523,77.4381,2778003
INTU,2014-03-10,77.943,78.4289,77.4572,77.8859,2189044
INTU,2014-03-11,77.4191,78.4956,76.9999,78.1717,1682701
INTU,2014-03-12,77.0952,77.3429,76.6761,77.2476,2117862
INTU,2014-03-13,76.3522,77.581,76.1521,77.3143,1558540
INTU,2014-03-14,76.1235,76.5808,75.8187,76.3522,1308841
INTU,2014-03-17,76.7332,77.3334,76.2189,76.4379,1185591
INTU,2014-03-18,76.838,77.019,76.3903,76.6761,1157259
INTU,2014-03-19,76.4093,76.919,75.8663,76.476,1168672
INTU,2014-03-20,76.8666,76.8761,76.0283,76.1521,841223
INTU,2014-03-21,75.6758,77.6763,75.6282,77.6763,2257081
INTU,2014-03-24,75.0757,76.0283,74.3136,75.5996,1623711
INTU,2014-03-25,74.9423,75.933,74.2564,75.6187,1366282
INTU,2014-03-26,74.0373,75.3424,74.0183,75.3424,1630305
INTU,2014-03-27,73.9039,74.2659,73.2657,73.742,1893130
INTU,2014-03-28,74.0849,74.5422,73.7515,74.0849,960172
INTU,2014-03-31,74.0468,74.9423,73.8754,74.5612,1942288
INTU,2014-04-01,75.1519,75.1804,74.0468,74.285,2108232
INTU,2014-04-02,75.2281,75.4662,74.5994,74.9613,1543116
INTU,2014-04-03,74.8566,75.6663,74.3803,75.2567,2007268
INTU,2014-04-04,73.5324,75.5996,73.4753,75.3424,2219333
INTU,2014-04-07,71.248,73.5324,70.7794,73.3133,2731870
INTU,2014-04-08,71.1888,72.3444,71.0608,71.4276,2374777
INTU,2014-04-09,71.7332,71.7523,70.7877,71.1984,1337393
INTU,2014-04-10,70.2815,71.7809,70.1383,71.6663,1791478
INTU,2014-04-11,69.2596,70.4057,69.1832,70.0141,2290407
INTU,2014-04-14,70.081,70.5394,69.5366,70.0905,1934121
INTU,2014-04-15,70.4248,70.7304,69.5366,70.0428,1999654
INTU,2014-04-16,70.9309,71.1411,70.1956,70.7686,1100710
INTU,2014-04-17,70.7017,71.3894,70.3484,70.7399,1463251
INTU,2014-04-21,70.6731,71.1411,70.3866,70.8259,1802787
INTU,2014-04-22,71.4753,72.3826,71.0933,71.2461,2161974
INTU,2014-04-23,71.0456,71.4276,70.7352,71.0838,1151022
INTU,2014-04-24,70.8259,73.7961,70.6826,71.7045,1488151
INTU,2014-04-25,71.9528,73.6815,71.2079,71.313,3736588
INTU,2014-04-28,71.3321,72.5927,70.7017,72.4399,2138838
INTU,2014-04-29,72.0101,72.4113,71.4849,71.7714,1823626
INTU,2014-04-30,72.3444,72.4304,71.5517,71.5613,1549352
INTU,2014-05-01,72.5163,73.3186,72.0292,72.2871,1356585
INTU,2014-05-02,71.9051,72.8219,71.8764,72.736,902180
INTU,2014-05-05,72.1725,72.2298,71.0647,71.4753,958035
INTU,2014-05-06,71.313,72.3062,71.2843,72.1152,901196
INTU,2014-05-07,70.9787,71.6281,70.3484,71.1506,1134081
INTU,2014-05-08,71.2652,72.0865,70.4964,70.9787,1266450
INTU,2014-05-09,71.5517,71.8955,70.7017,71.1602,881039
INTU,2014-05-12,72.6882,73.0607,71.7523,71.8,1233694
INTU,2014-05-13,72.2871,72.8601,72.0483,72.7742,947095
INTU,2014-05-14,71.6186,72.2441,71.504,72.0483,987706
INTU,2014-05-15,70.7495,72.0674,70.4248,71.5708,1623869
INTU,2014-05-16,72.1152,72.1916,70.5107,71.122,2064685
INTU,2014-05-19,73.6051,73.691,71.9337,71.9624,2274354
INTU,2014-05-20,73.3854,73.7961,72.7264,73.3568,2865782
INTU,2014-05-21,73.9871,74.8753,70.1956,70.6731,3935396
INTU,2014-05-22,74.7989,75.2764,73.691,73.8056,1975283
INTU,2014-05-23,76.0118,76.2123,74.8275,75.0376,1777823
INTU,2014-05-27,76.537,76.8236,75.8494,76.1932,1336782
INTU,2014-05-28,75.5247,76.7185,75.5056,76.7185,1493583
INTU,2014-05-29,75.5534,76.1455,75.3528,75.5343,1484641
INTU,2014-05-30,75.7253,75.8876,75.3432,75.8494,1562078
INTU,2014-06-02,75.859,76.1264,75.4578,75.8208,675097
INTU,2014-06-03,75.8208,75.9163,75.5056,75.6107,1267814
