symbol,date,close,high,low,open,volume
MOMO,2014-12-11,17.02,17.5,13.8,14.25,19850705
MOMO,2014-12-12,15.15,16.5,14.89,16.5,6049406
MOMO,2014-12-15,14.46,15.4,13.6,15.21,2894916
MOMO,2014-12-16,13.92,14.46,13.81,14.46,1443883
MOMO,2014-12-17,13.29,14,13.2,13.8,1947187
MOMO,2014-12-18,13.76,14.17,12.91,13.24,2092225
MOMO,2014-12-19,12.56,13.69,12.01,13.69,2624820
MOMO,2014-12-22,10.83,12.2999,10.82,12.29,2647892
MOMO,2014-12-23,11.97,12.13,10.84,10.85,2735673
MOMO,2014-12-24,12.03,12.379,11.75,12.29,678946
MOMO,2014-12-26,11.53,12.35,11.5,12.14,779712
MOMO,2014-12-29,11.53,12.195,11.45,11.63,516062
MOMO,2014-12-30,11.87,11.95,11.3201,11.4,300374
MOMO,2014-12-31,12,12.22,11.6651,11.82,476520
MOMO,2015-01-02,12.77,12.8,11.9501,12,781668
MOMO,2015-01-05,13.09,13.63,12.42,12.77,1265955
MOMO,2015-01-06,12.16,13.349,11.88,13.21,1168632
MOMO,2015-01-07,12.25,12.67,11.99,12.34,394640
MOMO,2015-01-08,12.08,12.38,12.06,12.38,386783
MOMO,2015-01-09,12.07,12.33,11.75,12.01,658374
MOMO,2015-01-12,11.97,12.43,11.76,12.09,366404
MOMO,2015-01-13,10.78,12.07,10.05,12,1326066
MOMO,2015-01-14,10.73,10.88,10.3,10.58,653410
MOMO,2015-01-15,11.12,11.4,10.08,10.71,530241
MOMO,2015-01-16,10.95,11.1888,10.76,11.06,149685
MOMO,2015-01-20,10.91,11.15,10.58,10.91,270269
MOMO,2015-01-21,11.2,11.34,10.7001,10.85,208767
MOMO,2015-01-22,10.81,11.28,10.75,11.28,712036
MOMO,2015-01-23,10.49,10.9,10.21,10.74,761894
MOMO,2015-01-26,10.33,10.67,10.25,10.4,226155
MOMO,2015-01-27,10.02,10.2499,9.8,10.2,608092
MOMO,2015-01-28,10.28,10.46,10.01,10.01,570974
MOMO,2015-01-29,9.94,10.28,9.7,10.22,710108
MOMO,2015-01-30,9.84,10,9.818,9.92,250140
MOMO,2015-02-02,9.82,9.98,9.72,9.84,285349
MOMO,2015-02-03,10.19,10.35,9.79,9.94,316686
MOMO,2015-02-04,10.71,11.73,10.11,10.3,704647
MOMO,2015-02-05,10.48,11.17,10.46,10.7,393209
MOMO,2015-02-06,10.335,10.83,10.3,10.56,194379
MOMO,2015-02-09,10.38,10.5,10.31,10.31,130016
MOMO,2015-02-10,10.27,10.64,10.18,10.4,183104
MOMO,2015-02-11,10.25,10.4413,10.18,10.23,81769
MOMO,2015-02-12,11.49,11.59,10.33,10.39,598419
MOMO,2015-02-13,11.02,12.17,11.01,11.6,754785
MOMO,2015-02-17,11.22,11.364,11,11.12,148163
MOMO,2015-02-18,11.21,11.3,11.09,11.3,98894
MOMO,2015-02-19,11.15,11.4049,11.11,11.12,47531
MOMO,2015-02-20,11.5,11.58,11.11,11.4,204533
MOMO,2015-02-23,11.5,11.73,11.4138,11.5,175946
MOMO,2015-02-24,12.27,12.28,11.5,11.6,420650
MOMO,2015-02-25,12.52,12.71,12.04,12.3,520046
MOMO,2015-02-26,12.52,12.81,12.4,12.72,773411
MOMO,2015-02-27,11.31,12.615,11.25,12.33,349716
MOMO,2015-03-02,12,12.88,11.4,11.85,722264
MOMO,2015-03-03,12.18,12.45,11.71,11.89,1382921
MOMO,2015-03-04,12.55,12.8499,12.03,12.07,1168011
MOMO,2015-03-05,11.09,12.6,10.5,12.6,1982891
MOMO,2015-03-06,11.03,11.25,10.58,10.69,996546
MOMO,2015-03-09,10.93,11.08,10.7,10.99,336652
MOMO,2015-03-10,10.44,10.95,10.37,10.85,768606
MOMO,2015-03-11,10.62,10.69,10.3,10.5,1095649
MOMO,2015-03-12,10.28,10.66,10.2,10.57,257506
MOMO,2015-03-13,10.02,10.5,10,10.3,501965
MOMO,2015-03-16,10.3,10.55,10,10,449336
MOMO,2015-03-17,10,10.3,10,10.3,255377
MOMO,2015-03-18,10.01,10.2,9.83,10.2,250126
MOMO,2015-03-19,10.02,10.19,9.96,10,158992
MOMO,2015-03-20,10.41,10.55,10.04,10.27,346074
MOMO,2015-03-23,10.4,10.5,9.96,10.38,733284
MOMO,2015-03-24,10.44,10.5,10.09,10.35,433965
MOMO,2015-03-25,10.29,10.44,10.1,10.23,276563
MOMO,2015-03-26,10.52,10.53,10.06,10.08,271339
MOMO,2015-03-27,10.7,10.88,10.418,10.46,321056
MOMO,2015-03-30,10.5,10.88,10.4,10.68,277655
MOMO,2015-03-31,10.6,10.64,10.4,10.52,306209
MOMO,2015-04-01,10.59,10.74,10.15,10.63,313480
MOMO,2015-04-02,10.51,10.65,9.5,10.38,978273
MOMO,2015-04-06,10.85,10.99,10.35,10.43,267139
MOMO,2015-04-07,10.5,10.9,10.46,10.61,159494
MOMO,2015-04-08,11.17,11.49,10.34,10.34,469864
MOMO,2015-04-09,11.96,12.12,10.9,11.11,794473
MOMO,2015-04-10,11.52,12.18,11.52,12,192453
MOMO,2015-04-13,11.2,11.93,10.92,11.49,348337
MOMO,2015-04-14,11.41,11.46,10.9301,11.06,184302
MOMO,2015-04-15,10.99,11.39,10.9,11.39,365182
MOMO,2015-04-16,11.26,11.4,10.9524,11.03,232600
MOMO,2015-04-17,10.92,11.47,10.86,11.16,210409
MOMO,2015-04-20,10.99,11.2672,10.75,11,309549
MOMO,2015-04-21,11,11.1384,10.94,11.09,277022
MOMO,2015-04-22,11.2,11.73,10.955,11.07,706640
MOMO,2015-04-23,11.39,11.8,11.1,11.1,566669
MOMO,2015-04-24,12.41,12.47,11.4,11.4,591191
MOMO,2015-04-27,11.93,12.4,11.81,12.4,543192
MOMO,2015-04-28,11.7,12.727,11.6,12.52,528233
MOMO,2015-04-29,11.36,11.73,11.3,11.53,204141
MOMO,2015-04-30,11.05,11.42,10.9,11.3,319653
MOMO,2015-05-01,11.17,11.31,10.9,11.05,200101
MOMO,2015-05-04,11.26,11.45,11.07,11.21,756266
MOMO,2015-05-05,10.88,11.26,10.56,11.25,196108
MOMO,2015-05-06,10.96,11.1,10.67,10.85,115230
