symbol,date,close,high,low,open,volume
PCLN,2013-02-27,695.91,712.5,692,709.05,2010289
PCLN,2013-02-28,689.114,697.72,680.69,696.3,1088128
PCLN,2013-03-01,695.62,698.77,683.68,689.05,1009128
PCLN,2013-03-04,714.01,714.71,692.47,694.55,890494
PCLN,2013-03-05,718.41,723.05,715.3,716,707979
PCLN,2013-03-06,718.9,728.7,717.03,721.07,492068
PCLN,2013-03-07,719.03,723.7399,716.53,722.15,462607
PCLN,2013-03-08,720.92,724.3,716.02,722.06,470801
PCLN,2013-03-11,725.07,725.92,719.79,721.01,459607
PCLN,2013-03-12,722.04,727.38,714.56,723,523511
PCLN,2013-03-13,715.53,723.73,714.53,723,376177
PCLN,2013-03-14,713.15,717.8,708.86,715.4,383392
PCLN,2013-03-15,713.5,716.44,711.06,711.61,697822
PCLN,2013-03-18,696.81,707.62,694.9,706.43,597304
PCLN,2013-03-19,684.15,702.69,679.71,697.53,940552
PCLN,2013-03-20,687.584,691.22,685.5301,689.68,379173
PCLN,2013-03-21,683.99,699.49,683.508,688.44,537077
PCLN,2013-03-22,697.91,697.92,686,689.36,557447
PCLN,2013-03-25,695.64,703.5,693.3,700.02,370475
PCLN,2013-03-26,694.59,700,693.2401,697.88,278779
PCLN,2013-03-27,694.86,695.53,682.5,687.56,407194
PCLN,2013-03-28,688.162,694.8,686.0101,694.3,539605
PCLN,2013-04-01,695.76,697.92,686.811,689.08,578615
PCLN,2013-04-02,705.91,706,698.521,701.49,512041
PCLN,2013-04-03,698.72,707.2699,697.11,706.24,505753
PCLN,2013-04-04,701.35,702.13,689,698,469872
PCLN,2013-04-05,693.31,697.76,687.42,693.22,481137
PCLN,2013-04-08,696.53,696.81,688.1,691.76,292839
PCLN,2013-04-09,696.13,700.71,690.65,696,321205
PCLN,2013-04-10,718.94,719.71,697.24,699.05,652078
PCLN,2013-04-11,733.99,735.29,718.715,720.91,724402
PCLN,2013-04-12,743.11,745.24,722.451,732.77,972027
PCLN,2013-04-15,711.38,735.63,710.93,733.45,814386
PCLN,2013-04-16,720.7,723.31,713.481,719.62,493562
PCLN,2013-04-17,708.8,716.02,702.4,714.99,606478
PCLN,2013-04-18,690.01,707.36,683.5401,707.07,800352
PCLN,2013-04-19,683.57,697.9,682.31,686.93,831625
PCLN,2013-04-22,690.87,691.59,677.72,685.01,520114
PCLN,2013-04-23,702.35,707.41,692.46,692.75,467968
PCLN,2013-04-24,700.8,704.53,693.72,702.98,280855
PCLN,2013-04-25,711.22,720.5,703.5,705,560853
PCLN,2013-04-26,701.19,710.709,693.921,705.93,739923
PCLN,2013-04-29,699.43,709.05,697.06,704.49,572858
PCLN,2013-04-30,695.99,702.73,693.49,698.55,484179
PCLN,2013-05-01,694.06,700,691.1,696.56,454262
PCLN,2013-05-02,707.95,712.6,693.75,693.75,617843
PCLN,2013-05-03,724.77,728.5399,716.85,717.43,662841
PCLN,2013-05-06,726.71,730.9499,722.7001,723.5,405849
PCLN,2013-05-07,725.05,730.99,717.901,730.96,314622
PCLN,2013-05-08,735.27,736,726.11,726.22,461781
PCLN,2013-05-09,737.5,744.98,728.72,735,1052934
PCLN,2013-05-10,765.41,769.67,742,742,2110414
PCLN,2013-05-13,777.44,779.25,758.3701,761,785911
PCLN,2013-05-14,791.139,794,776.04,776.04,1015473
PCLN,2013-05-15,805.75,808.5133,789.9501,790.05,927580
PCLN,2013-05-16,800.08,811.48,797.5,806,898381
PCLN,2013-05-17,813.66,814.58,802.18,805.03,784034
PCLN,2013-05-20,842.5,842.75,824.19,825.7,1329857
PCLN,2013-05-21,825.96,847.3299,825.06,842.9,1115783
PCLN,2013-05-22,798.03,820.72,795.31,803.45,1857136
PCLN,2013-05-23,803.6,805.65,784.32,789,906641
PCLN,2013-05-24,801.12,804.18,795.55,797.65,437817
PCLN,2013-05-28,804.33,819.99,801.31,811.8,653225
PCLN,2013-05-29,792.27,801.68,789.45,796.12,548570
PCLN,2013-05-30,807.54,816.4,792.27,795,1258705
PCLN,2013-05-31,803.93,819.98,802.8675,805.77,826143
PCLN,2013-06-03,802.62,805.86,788.26,805.15,626727
PCLN,2013-06-04,798.69,811,794.05,800.76,533296
PCLN,2013-06-05,795.5,809,795,797.95,538923
PCLN,2013-06-06,805.9,806.03,787,794.85,582441
