symbol,date,close,high,low,open,volume
PEP,2013-10-07,68.3868,68.8452,68.3003,68.5511,4872495
PEP,2013-10-08,68.2743,68.6376,68.2138,68.5857,5552453
PEP,2013-10-09,68.7674,69.3642,68.2194,68.43,5298581
PEP,2013-10-10,69.7967,69.7967,69.0355,69.1653,4663265
PEP,2013-10-11,69.9178,70.1427,69.5891,69.8313,4111038
PEP,2013-10-14,70.1427,70.1687,69.494,69.5891,3642769
PEP,2013-10-15,69.7189,70.5233,69.5459,70.2119,5427713
PEP,2013-10-16,71.1634,71.2758,70.3936,70.9299,7350850
PEP,2013-10-17,71.4316,71.4662,70.6098,70.9731,4469232
PEP,2013-10-18,71.8035,71.8035,71.1288,71.4921,6356495
PEP,2013-10-21,71.2499,71.7689,71.0942,71.7689,3981229
PEP,2013-10-22,72.1754,72.4263,71.1893,71.3191,5125940
PEP,2013-10-23,72.0803,72.1754,71.6132,72.0284,4665161
PEP,2013-10-24,71.397,72.1495,71.397,72.1495,5510781
PEP,2013-10-25,72.0976,72.1149,71.3104,71.4056,4065148
PEP,2013-10-28,73.1875,73.274,71.9938,72.1063,5366841
PEP,2013-10-29,73.9487,73.9573,73.0923,73.3086,4349448
PEP,2013-10-30,73.2826,73.9487,73.1865,73.9314,3556131
PEP,2013-10-31,72.7377,73.4383,72.7377,73.2221,4572187
PEP,2013-11-01,73.1442,73.2567,72.5214,72.7896,4150005
PEP,2013-11-04,72.9799,73.5162,72.7766,73.1961,3572847
PEP,2013-11-05,73.1961,73.447,72.5128,72.7117,3207592
PEP,2013-11-06,74.978,75.0213,73.2394,73.4816,6017081
PEP,2013-11-07,73.7843,74.978,73.6027,74.8829,5869987
PEP,2013-11-08,74.2601,74.286,72.9366,73.7757,5159248
PEP,2013-11-11,73.9141,74.4936,73.7454,74.1736,4309188
PEP,2013-11-12,74.0784,74.1087,73.5508,73.8795,4561148
PEP,2013-11-13,74.3466,74.3985,73.6892,73.9314,3228372
PEP,2013-11-14,74.7272,74.9348,74.286,74.3725,2897306
PEP,2013-11-15,74.4158,74.8915,74.0049,74.6753,3324023
PEP,2013-11-18,74.2687,74.5473,73.8708,74.4071,4163167
PEP,2013-11-19,73.7757,74.2219,73.4643,74.0482,4026233
PEP,2013-11-20,73.6373,74.4673,73.5075,73.94,4471122
PEP,2013-11-21,74.0611,74.3206,73.7151,74.2082,3137139
PEP,2013-11-22,74.1649,74.2168,73.62,74.0092,3380120
PEP,2013-11-25,73.8449,74.4936,73.7324,74.2255,2536182
PEP,2013-11-26,72.9972,74.1736,72.9885,73.8708,4633892
PEP,2013-11-27,73.0231,73.1788,72.7204,73.101,3611564
PEP,2013-11-29,73.0577,73.421,72.8285,73.1961,2698087
PEP,2013-12-02,72.4003,73.1096,72.2619,73.0318,4495875
PEP,2013-12-03,72.4868,72.6252,72.0803,72.2533,5767506
PEP,2013-12-04,71.9795,72.3018,71.5093,72.3018,6819764
PEP,2013-12-05,71.3264,71.9273,71.3177,71.7705,5321577
PEP,2013-12-06,72.415,72.5021,71.6185,71.8663,4841218
PEP,2013-12-09,72.0144,72.4585,71.727,72.2147,5371741
PEP,2013-12-10,71.7618,72.1189,71.5093,71.8054,4888909
PEP,2013-12-11,71.997,72.3453,71.6921,71.6921,6606298
PEP,2013-12-12,70.7864,71.9795,70.5164,71.9012,6327494
PEP,2013-12-13,70.4816,71.2741,70.4119,71.0041,3798304
PEP,2013-12-16,70.5426,70.8038,70.1942,70.5948,4245632
PEP,2013-12-17,70.0723,70.7603,69.9765,70.5861,8210198
PEP,2013-12-18,70.9083,71.0695,69.6368,70.1768,7416940
PEP,2013-12-19,71.1174,71.2315,70.56,70.7864,4075689
PEP,2013-12-20,71.248,71.5006,70.9519,71.0216,7496810
PEP,2013-12-23,71.2915,71.7444,70.9345,71.7096,3721349
PEP,2013-12-24,71.4483,71.5964,71.2393,71.4657,1115370
PEP,2013-12-26,71.8054,71.8054,71.4222,71.5354,1798956
PEP,2013-12-27,72.0318,72.3802,71.8141,72.0579,2361322
PEP,2013-12-30,72.206,72.3627,72.0057,72.0318,2006895
PEP,2013-12-31,72.2321,72.5718,71.8837,72.2669,3009535
PEP,2014-01-02,71.5006,72.2756,71.2567,72.2234,3276752
PEP,2014-01-03,71.6225,72.1711,71.518,71.518,3288547
PEP,2014-01-06,71.6573,71.9447,71.4831,71.5876,3888671
PEP,2014-01-07,72.7024,73.1465,71.9447,71.9534,6334320
PEP,2014-01-08,72.4934,72.8243,72.1166,72.5718,5653400
PEP,2014-01-09,72.1537,72.624,71.7357,72.5805,4565939
PEP,2014-01-10,72.7198,72.8417,72.0666,72.4585,3712915
PEP,2014-01-13,71.7357,72.7808,71.6921,72.3366,4487238
PEP,2014-01-14,71.7357,72.1624,71.6399,71.9621,4389269
PEP,2014-01-15,72.1886,72.4542,71.6573,71.8315,4190224
PEP,2014-01-16,72.1624,72.4324,71.6747,72.0057,3724717
PEP,2014-01-17,71.5876,72.2669,71.4483,72.2321,6281006
PEP,2014-01-21,72.2147,72.341,71.5441,71.5964,4790747
PEP,2014-01-22,72.1537,72.2844,71.8228,72.1363,3920420
PEP,2014-01-23,71.7879,72.1537,71.3002,72.1537,5429063
PEP,2014-01-24,70.9171,71.9621,70.9171,71.4744,5920924
PEP,2014-01-27,71.4657,72.0841,70.9083,70.9171,5814988
PEP,2014-01-28,71.6921,71.997,71.1609,71.7531,3867847
PEP,2014-01-29,69.8633,71.3002,69.7588,71.3002,7545185
PEP,2014-01-30,70.6122,70.8561,70.1507,70.2116,4589057
PEP,2014-01-31,69.9852,70.3858,69.5846,69.8458,6729456
PEP,2014-02-03,68.4263,70.1158,68.3827,69.9765,7076924
PEP,2014-02-04,68.644,68.9488,68.1737,68.7747,5431834
PEP,2014-02-05,69.1666,69.3407,68.3131,68.4263,4829740
PEP,2014-02-06,69.1404,69.8458,68.6701,69.8371,6115224
PEP,2014-02-07,69.8633,69.8981,69.0272,69.393,4578150
PEP,2014-02-10,70.1942,70.2987,69.811,69.8197,4742012
PEP,2014-02-11,70.7603,70.83,69.9591,70.0897,5077734
PEP,2014-02-12,70.9693,71.2828,70.5251,70.9606,4471389
PEP,2014-02-13,69.4017,70.4293,68.2434,70.3423,11205919
PEP,2014-02-14,68.0083,69.5149,67.982,69.4627,13254694
PEP,2014-02-18,68.0866,68.4785,67.7383,68.4785,9843869
PEP,2014-02-19,67.1461,68.3044,67.0677,67.9647,10353796
PEP,2014-02-20,67.9386,68.6876,67.3812,67.4335,9580424
PEP,2014-02-21,68.1215,68.7224,67.8428,67.9386,7531842
PEP,2014-02-24,68.6963,69.3159,68.1999,68.1999,7751126
PEP,2014-02-25,69.0011,69.4539,68.7398,68.8182,7513012
PEP,2014-02-26,68.496,69.5672,68.4263,69.2362,6586262
PEP,2014-02-27,68.8617,69.2014,68.2782,68.496,7809766
PEP,2014-02-28,69.7326,70.02,68.6701,68.8792,9871334
PEP,2014-03-03,69.2536,69.4191,68.8879,68.9488,5767178
PEP,2014-03-04,70.4119,70.4772,69.4975,69.5062,7518090
PEP,2014-03-05,71.1377,71.4534,70.436,70.5062,6402186
PEP,2014-03-06,71.3306,71.4271,71.0061,71.1903,5880029
PEP,2014-03-07,71.5324,71.5937,71.0675,71.4885,4033468
PEP,2014-03-10,71.6815,71.7692,71.2255,71.5236,4313497
PEP,2014-03-11,72.6287,72.7778,71.7341,71.7779,5850404
PEP,2014-03-12,72.0498,72.4006,71.7955,72.0937,5674517
PEP,2014-03-13,71.7428,72.541,71.5937,72.1024,6119011
PEP,2014-03-14,71.0412,72.0849,70.9184,71.6815,7766887
PEP,2014-03-17,71.9621,72.041,71.2956,71.4534,7762000
PEP,2014-03-18,71.8744,72.1068,71.5587,71.9358,3488298
PEP,2014-03-19,71.3657,71.9095,71.2078,71.9007,5106038
PEP,2014-03-20,71.7955,71.8393,71.2605,71.3569,3241077
PEP,2014-03-21,72.041,72.4182,71.4797,72.1112,9206706
PEP,2014-03-24,71.8218,72.4182,71.506,72.2033,5253623
PEP,2014-03-25,72.2691,72.3524,71.8306,71.8306,4170490
PEP,2014-03-26,72.6813,73.4443,72.348,72.4182,6392588
PEP,2014-03-27,72.3919,72.9795,72.3568,72.6638,4352011
PEP,2014-03-28,72.7515,72.9795,72.5278,72.5322,4078089
PEP,2014-03-31,73.2338,73.4969,72.9444,73.4443,6620876
PEP,2014-04-01,72.6901,73.0321,72.5585,72.8567,4676900
PEP,2014-04-02,72.5585,72.7515,72.3042,72.6374,4919224
PEP,2014-04-03,72.7164,72.883,72.4445,72.7251,3369428
PEP,2014-04-04,72.4357,72.9532,72.4269,72.9444,4404054
PEP,2014-04-07,73.5934,73.8741,72.1814,72.2428,8976454
PEP,2014-04-08,73.2075,73.6724,72.9269,73.611,6552745
PEP,2014-04-09,73.5934,73.6724,73.0409,73.2075,4926477
PEP,2014-04-10,73.3391,74.3915,73.3215,73.5408,7673439
PEP,2014-04-11,72.9269,73.8653,71.9095,71.9095,6703801
PEP,2014-04-14,73.2777,73.5934,72.8392,73.2952,4617753
PEP,2014-04-15,73.6373,73.7074,73.2689,73.6461,5673788
PEP,2014-04-16,74.3477,74.5319,73.9969,74.0407,5578425
PEP,2014-04-17,75.0318,75.3738,74.1021,75.3388,11168516
PEP,2014-04-21,75.3475,75.3826,74.5582,74.7336,4889839
PEP,2014-04-22,74.6722,75.2774,74.6722,75.2774,4483316
PEP,2014-04-23,74.909,75.1633,74.6047,74.7862,4805297
PEP,2014-04-24,75.0055,75.137,74.5494,74.8827,3749740
PEP,2014-04-25,74.7687,75.2423,74.6459,74.9529,3749360
PEP,2014-04-28,76.1456,76.3035,74.9441,75.023,5978549
PEP,2014-04-29,75.216,76.252,75.216,76.2421,4869119
PEP,2014-04-30,75.33,75.4879,74.9265,75.1897,4387510
PEP,2014-05-01,75.0493,75.544,74.5012,75.4265,3848907
PEP,2014-05-02,75.0055,75.3037,74.6371,74.8564,3437979
PEP,2014-05-05,75.3475,75.4966,74.6722,74.6985,2990077
PEP,2014-05-06,74.8739,75.4089,74.8301,74.9792,3141190
PEP,2014-05-07,76.1281,76.4088,74.8213,74.8213,5500617
PEP,2014-05-08,76.0053,76.3825,75.7948,76.1193,3507934
PEP,2014-05-09,76.4526,76.5184,75.7948,75.9264,3330116
PEP,2014-05-12,76.2421,76.8999,75.979,76.5842,3218644
PEP,2014-05-13,76.5052,76.6894,76.1369,76.2597,2259404
PEP,2014-05-14,76.1632,76.6894,76.1106,76.514,2726366
PEP,2014-05-15,75.1984,76.2158,75.1546,76.1632,3877132
PEP,2014-05-16,75.9001,75.9702,75.0493,75.0669,3672615
PEP,2014-05-19,75.5142,75.6019,74.9441,75.3738,4201543
PEP,2014-05-20,75.1195,75.637,74.8652,75.3914,4510187
PEP,2014-05-21,75.5142,75.5546,75.0143,75.2335,2647076
PEP,2014-05-22,75.0581,75.5142,74.9002,75.4791,2970589
PEP,2014-05-23,75.2774,75.4703,74.8652,74.8652,2750733
PEP,2014-05-27,75.8913,75.979,75.1151,75.2598,4403590
PEP,2014-05-28,76.3649,76.4438,75.7247,75.7334,4031007
PEP,2014-05-29,76.9438,77.0402,76.1983,76.2947,4647284
PEP,2014-05-30,77.47,77.6016,76.6631,76.8385,5181053
PEP,2014-06-02,77.0666,77.5226,76.9701,77.2858,2876121
PEP,2014-06-03,77.3735,77.3911,76.5754,76.6894,5174666
PEP,2014-06-04,77.2543,77.8021,77.1747,77.3338,3872433
PEP,2014-06-05,77.5459,77.6872,77.0687,77.5724,2937780
PEP,2014-06-06,77.6784,77.8198,77.3426,77.6342,3675394
PEP,2014-06-09,77.7579,78.0451,77.5989,77.5989,2284090
PEP,2014-06-10,78.129,78.3941,77.4663,77.6165,3420577
PEP,2014-06-11,77.5635,78.1997,77.5282,77.8905,3747601
PEP,2014-06-12,77.0687,77.5017,76.8301,77.3956,3856222
PEP,2014-06-13,77.0422,77.1924,76.7153,77.0069,3047461
PEP,2014-06-16,77.3603,77.5282,76.6181,76.7594,3894528
PEP,2014-06-17,77.1217,77.7314,76.9362,77.4487,3393090
PEP,2014-06-18,78.5532,78.615,76.9715,77.1747,5314413
PEP,2014-06-19,79.6135,79.6135,78.5708,78.6062,5380438
PEP,2014-06-20,78.7299,79.7372,78.7299,79.6489,5702448
PEP,2014-06-23,78.1025,78.8713,77.5282,78.8183,4187739
PEP,2014-06-24,77.8021,78.2616,77.6121,77.9612,4309683
PEP,2014-06-25,78.2704,78.3941,77.6696,77.7403,3965262
PEP,2014-06-26,78.2969,78.7652,77.7491,78.7211,3539347
PEP,2014-06-27,78.4295,78.5708,78.076,78.1467,3646143
PEP,2014-06-30,78.942,79.0833,78.0672,78.1644,4473412
PEP,2014-07-01,78.7564,78.8889,78.4913,78.7476,3540986
PEP,2014-07-02,79.2336,79.2512,78.6504,78.8978,2829646
PEP,2014-07-03,79.5428,79.6489,79.1098,79.4368,2216760
PEP,2014-07-07,79.4014,79.4721,79.0657,79.1805,2534638
PEP,2014-07-08,79.2866,79.595,79.0612,79.5782,3133783
PEP,2014-07-09,79.3219,79.6135,79.1894,79.4368,2603283
PEP,2014-07-10,79.6135,79.7195,78.7741,78.8448,3145616
PEP,2014-07-11,79.3926,79.7138,79.0392,79.4633,3655304
PEP,2014-07-14,80.4794,80.7534,79.587,79.7019,4500210
PEP,2014-07-15,79.8256,80.3646,79.6842,79.7991,3959381
PEP,2014-07-16,79.967,80.3027,79.5782,80.0818,5125287
PEP,2014-07-17,79.5163,80.1172,79.4986,79.6577,2823794
PEP,2014-07-18,79.6047,79.7726,79.2512,79.64,5273225
PEP,2014-07-21,79.4456,79.6489,78.9773,79.1894,3024119
PEP,2014-07-22,78.7917,79.207,78.6504,79.1805,5304613
PEP,2014-07-23,80.2497,82.2555,80.1967,80.6385,10958209
PEP,2014-07-24,81.2128,81.5928,80.7269,80.9566,5614738
PEP,2014-07-25,80.8947,81.4249,80.665,81.2747,2925074
PEP,2014-07-28,80.3823,81.1157,80.0907,80.8947,4653893
PEP,2014-07-29,79.6489,80.3823,79.6489,80.3292,4268628
PEP,2014-07-30,78.562,80.0111,78.3941,79.9581,4254648
PEP,2014-07-31,77.8463,78.562,77.8198,77.97,4825931
PEP,2014-08-01,79.2512,79.2777,77.8728,78.0495,6488915
PEP,2014-08-04,79.2512,79.2777,77.8728,78.0495,6488915
PEP,2014-08-05,78.8183,79.2424,78.5443,78.9773,7678773
PEP,2014-08-06,79.9758,80.1967,78.1379,78.1379,6595135
PEP,2014-08-07,79.4368,80.2762,79.1187,80.2232,4625657
PEP,2014-08-08,79.7814,79.8344,79.0922,79.4368,4739884
PEP,2014-08-11,81.1068,81.1687,80.1437,80.4971,5232022
PEP,2014-08-12,80.5943,81.1952,80.4264,80.8152,2776040
PEP,2014-08-13,81.0626,81.1775,80.4794,80.9036,3690310
PEP,2014-08-14,81.1068,81.3631,80.8152,81.1333,3624934
PEP,2014-08-15,81.1598,81.9551,80.665,81.3807,3844615
PEP,2014-08-18,81.4249,81.7519,81.2924,81.4691,2974723
PEP,2014-08-19,81.1687,81.6105,81.098,81.4868,3086283
PEP,2014-08-20,81.4956,81.6812,80.8682,81.1333,5712862
PEP,2014-08-21,81.3366,82.3439,81.3012,81.796,4060284
PEP,2014-08-22,80.9389,81.8137,80.9389,81.5309,3870060
PEP,2014-08-25,82.5397,82.5486,81.6987,82.2282,4915462
PEP,2014-08-26,81.8225,82.6266,81.7872,82.3615,3143383
PEP,2014-08-27,81.4956,81.9286,81.3454,81.9286,2960141
PEP,2014-08-28,81.8049,81.9109,81.1223,81.3719,3234333
PEP,2014-08-29,81.7253,82.0965,81.3012,81.9374,3657709
PEP,2014-09-02,81.7165,82.2997,81.6281,81.8402,5130407
PEP,2014-09-03,82.5397,82.5486,81.6987,82.2282,4929578
PEP,2014-09-04,81.7388,82.8957,81.6676,82.7177,4466829
PEP,2014-09-05,81.6498,81.7388,81.3294,81.7388,3148099
PEP,2014-09-08,81.7477,82.0948,81.3294,81.4095,3534335
PEP,2014-09-09,81.3561,81.689,81.2493,81.4273,3259229
PEP,2014-09-10,81.6854,81.8011,81.454,81.5786,3720513
PEP,2014-09-11,81.5608,81.8278,81.4095,81.5964,3670636
PEP,2014-09-12,80.8667,81.6943,80.6086,81.5163,3592146
PEP,2014-09-15,81.1603,81.2582,80.7866,81.0447,3770687
PEP,2014-09-16,82.3795,82.8423,80.9379,81.1069,5155350
PEP,2014-09-17,82.6287,83.0381,81.9168,82.4685,4997193
PEP,2014-09-18,83.0915,83.2071,82.4952,82.7355,4757606
PEP,2014-09-19,83.4652,83.839,83.136,83.5275,6259505
PEP,2014-09-22,83.2783,83.4563,83.0204,83.136,3790579
PEP,2014-09-23,82.6999,83.2783,82.6198,83.2516,3390277
PEP,2014-09-24,83.2071,83.6877,82.8334,82.8601,4227262
PEP,2014-09-25,82.4685,83.1449,82.2994,83.1182,4372360
PEP,2014-09-26,82.8779,83.0559,82.2638,82.3172,3536266
PEP,2014-09-29,82.8957,83.1093,82.3261,82.3261,2973610
PEP,2014-09-30,82.8423,83.1449,82.691,82.7177,4220143
PEP,2014-10-01,82.4507,82.958,82.246,82.4685,4842772
PEP,2014-10-02,82.3884,82.691,82.1659,82.5931,3513750
PEP,2014-10-03,83.2071,83.2338,82.4507,82.7711,4084603
PEP,2014-10-06,83.0915,83.3406,82.5709,83.2071,3733095
PEP,2014-10-07,82.8512,83.2427,82.6732,83.0203,6799862
PEP,2014-10-08,83.5987,83.5987,82.5486,82.7177,5716725
PEP,2014-10-09,83.2694,85.6277,83.2605,84.8535,9094388
PEP,2014-10-10,84.2305,85.3429,83.3495,83.3495,8354627
PEP,2014-10-13,83.5987,84.9425,83.5008,84.2839,5195322
PEP,2014-10-14,82.7711,84.1149,82.3973,84.0615,5869007
PEP,2014-10-15,81.6676,82.3706,80.7688,81.7299,8584059
PEP,2014-10-16,80.7955,81.0046,79.9323,80.3327,7228023
PEP,2014-10-17,81.4362,81.8723,80.5819,81.0624,6260164
PEP,2014-10-20,83.2516,83.4029,81.5074,81.5697,6888587
PEP,2014-10-21,83.4118,83.6165,82.0236,82.9936,6982230
PEP,2014-10-22,84.0615,84.5598,83.3317,83.5186,5148215
PEP,2014-10-23,83.4385,84.8268,83.2071,84.4886,5804955
PEP,2014-10-24,84.1861,84.3551,83.2516,83.4385,4005843
PEP,2014-10-27,84.2039,84.7556,83.928,84.0793,3135454
PEP,2014-10-28,84.7734,84.7734,83.9191,84.2661,3372697
PEP,2014-10-29,84.2661,84.987,83.7144,84.987,3274336
PEP,2014-10-30,86.4642,86.6689,85.6277,86.0549,3247530
PEP,2014-10-31,85.5832,86.0905,85.0582,85.7968,5259362
PEP,2014-11-03,85.2806,85.8144,85.0849,85.3785,4328966
PEP,2014-11-04,86.0816,86.1795,85.423,85.5565,3944484
PEP,2014-11-05,86.224,87.0872,85.7612,86.7846,3804096
PEP,2014-11-06,86.1528,86.4998,85.8858,86.2863,4198532
PEP,2014-11-07,86.1439,86.1528,84.987,86.1528,5273399
PEP,2014-11-10,86.2952,86.3085,85.5743,85.7879,3345479
PEP,2014-11-11,86.0549,86.66,86.0015,86.2863,3263623
PEP,2014-11-12,86.4642,86.6689,85.6277,86.0549,3247530
PEP,2014-11-13,87.6923,88.0661,85.9036,85.9036,6257928
PEP,2014-11-14,86.9626,87.7012,86.6422,87.6478,4335384
PEP,2014-11-17,87.5855,87.7012,86.1884,86.1884,3745202
PEP,2014-11-18,87.1584,87.6567,87.0872,87.5855,3908644
PEP,2014-11-19,87.5766,87.6033,86.9893,87.1584,3396799
PEP,2014-11-20,87.2652,87.7635,87.0916,87.2207,3727138
PEP,2014-11-21,88.0038,88.2174,87.4253,88.1284,5259803
PEP,2014-11-24,87.8169,88.3242,87.6478,87.9949,4540688
PEP,2014-11-25,88.0394,88.2708,87.6567,87.6656,3640863
PEP,2014-11-26,88.4132,88.6712,88.1106,88.3242,2685579
PEP,2014-11-28,89.0806,89.6145,88.5644,88.7424,2504268
PEP,2014-12-01,88.6979,89.1206,87.6478,87.7101,3658517
PEP,2014-12-02,89.3387,89.4989,88.6445,88.9738,3888040
PEP,2014-12-03,88.0712,89.3074,87.9458,89.3074,4943770
PEP,2014-12-04,87.5606,88.0354,87.2471,87.8204,4590476
PEP,2014-12-05,87.5696,87.7254,87.068,87.4442,5308199
PEP,2014-12-08,87.5875,87.8831,87.3367,87.6681,4233782
PEP,2014-12-09,87.0053,87.5606,86.1812,87.0859,3459737
PEP,2014-12-10,86.1543,87.4263,86.0557,87.0948,3972303
PEP,2014-12-11,86.2528,86.8888,86.002,86.2618,4784694
PEP,2014-12-12,84.8644,86.6828,84.8375,85.6885,3938216
PEP,2014-12-15,84.3269,85.7422,84.0785,85.2137,4555217
PEP,2014-12-16,82.9385,85.0704,82.8848,83.7895,6962762
PEP,2014-12-17,83.9507,84.2911,82.7952,83.1176,6196519
PEP,2014-12-18,85.4198,85.4645,83.9686,84.8375,8122804
PEP,2014-12-19,85.4914,86.1722,85.2854,85.366,7678724
PEP,2014-12-22,86.5484,86.5842,85.5183,85.8049,3622999
PEP,2014-12-23,87.2113,87.3367,86.7634,87.1038,3072368
PEP,2014-12-24,86.9694,87.686,86.9336,87.3367,1608616
PEP,2014-12-26,86.9336,87.3994,86.8619,86.9963,1492689
PEP,2014-12-29,86.6469,86.9784,86.011,86.5484,2453829
PEP,2014-12-30,85.9572,86.6917,85.9214,86.1812,2134434
PEP,2014-12-31,84.7031,85.9751,84.6852,85.6974,3727376
PEP,2015-01-02,84.5957,85.4018,84.2445,85.0346,3554777
PEP,2015-01-05,83.9597,85.142,83.9507,84.6046,6440954
PEP,2015-01-06,83.3237,84.7568,83.252,84.2732,6194995
PEP,2015-01-07,85.7601,86.1991,84.5867,85.2137,6526279
PEP,2015-01-08,87.3188,87.7039,86.6022,86.6559,7131624
PEP,2015-01-09,86.7276,87.489,86.5215,87.3815,4061535
PEP,2015-01-12,86.3693,87.1934,86.1632,86.844,4192739
PEP,2015-01-13,86.3066,87.3277,85.8318,86.5932,5373499
PEP,2015-01-14,86.5932,86.7096,85.5093,85.5093,5127849
PEP,2015-01-15,86.5932,87.1754,86.3334,87.0142,4424008
PEP,2015-01-16,87.1486,87.274,86.2976,86.5842,4404358
PEP,2015-01-20,87.3456,88.0802,86.7365,88.0802,7029455
PEP,2015-01-21,87.2471,87.9816,86.5305,86.9067,5031061
PEP,2015-01-22,88.5907,88.6803,86.9246,87.3188,7620426
PEP,2015-01-23,88.2593,88.6714,87.8741,88.107,4857695
PEP,2015-01-26,88.4026,88.6355,87.489,87.9548,4298681
PEP,2015-01-27,86.638,87.8294,85.3194,87.471,7365306
PEP,2015-01-28,85.7422,87.5785,85.6885,87.0769,6280100
PEP,2015-01-29,86.0199,86.423,84.9808,85.7422,4600274
PEP,2015-01-30,84.0045,85.3929,83.8074,85.1958,7741531
PEP,2015-02-02,85.3929,85.4914,83.8432,84.0761,6889501
PEP,2015-02-03,86.1722,86.4947,85.6168,86.011,5090350
PEP,2015-02-04,86.5305,87.1264,86.0199,86.0199,5064710
PEP,2015-02-05,86.5395,87.0948,86.3603,87.0948,4466206
PEP,2015-02-06,86.629,86.9425,86.3103,86.6022,4629236
PEP,2015-02-09,85.9662,86.8082,85.6258,86.5126,4217118
PEP,2015-02-10,87.7756,87.8741,86.3334,86.6469,6797404
PEP,2015-02-11,89.9344,90.2569,88.8595,89.6209,9736400
PEP,2015-02-12,89.8179,90.024,89.0207,89.6209,9062289
PEP,2015-02-13,88.7968,89.7104,88.6266,89.7104,5642975
PEP,2015-02-17,88.107,88.4206,87.7846,88.1877,5877815
PEP,2015-02-18,88.9759,89.1192,87.9279,87.9995,3472486
PEP,2015-02-19,88.4295,89.2177,88.2593,88.9491,4186264
PEP,2015-02-20,88.7341,88.743,87.6323,87.9816,3946209
PEP,2015-02-23,89.0834,89.1058,88.4474,88.8236,3075845
PEP,2015-02-24,89.1999,89.5492,88.8057,89.0834,3389854
PEP,2015-02-25,89.1282,89.4148,88.5998,89.2894,3366098
PEP,2015-02-26,88.743,89.0028,88.6624,88.8147,5721960
PEP,2015-02-27,88.6624,89.0118,88.6535,88.8774,6461717
PEP,2015-03-02,88.6803,88.9491,88.4385,88.5907,3613572
PEP,2015-03-03,88.1429,88.6355,87.8921,88.5191,4148507
PEP,2015-03-04,87.7957,88.2329,87.5793,88.1204,3885236
PEP,2015-03-05,87.6785,88.2196,87.6605,88.1023,3537435
PEP,2015-03-06,86.7226,87.6064,86.5152,87.4711,6466070
PEP,2015-03-09,86.6054,87.0202,86.5424,86.5693,4810515
PEP,2015-03-10,85.1536,86.2086,85.1536,86.0102,5390258
PEP,2015-03-11,84.4322,85.3339,84.2698,85.1806,4637261
PEP,2015-03-12,86.3078,86.3529,84.6215,84.7297,4454966
PEP,2015-03-13,85.0544,86.1996,84.7117,85.5684,4703849
PEP,2015-03-16,86.0734,86.1455,85.1987,85.2708,4687405
PEP,2015-03-17,84.883,85.9291,84.8199,85.6135,4507415
PEP,2015-03-18,85.3429,85.7127,83.1787,84.7568,7692072
PEP,2015-03-19,84.856,85.2888,84.4953,85.1536,4386405
PEP,2015-03-20,85.9742,86.0959,84.856,84.9462,8810365
PEP,2015-03-23,86.4341,86.6775,85.9742,86.0914,4739420
PEP,2015-03-24,86.4431,87.6154,86.398,87.2096,7118581
PEP,2015-03-25,85.902,86.9661,85.875,86.9571,4965558
PEP,2015-03-26,86.2357,86.5513,85.4782,85.893,5077708
PEP,2015-03-27,86.5242,86.7136,85.8299,85.9201,4245575
PEP,2015-03-30,87.0383,87.178,86.1635,86.8218,5021247
PEP,2015-03-31,86.2267,87.1014,86.2267,86.7677,4397584
PEP,2015-04-01,85.7487,85.9201,84.9191,85.8119,4241245
PEP,2015-04-02,86.2898,86.5017,85.4692,85.4692,3586201
PEP,2015-04-06,87.0022,87.5523,86.1455,86.1455,4861823
PEP,2015-04-07,86.7587,87.3539,86.7407,87.1735,3376583
PEP,2015-04-08,86.5964,87.1104,86.2898,86.6595,3879114
PEP,2015-04-09,86.885,87.1374,86.2447,86.416,3488127
PEP,2015-04-10,86.7497,87.0383,86.7046,86.8218,2704870
PEP,2015-04-13,86.1455,86.8218,86.1004,86.5784,3772868
PEP,2015-04-14,87.0112,87.2907,86.0193,86.2718,4501659
