symbol,date,close,high,low,open,volume
SBUX,2013-10-07,35.4133,35.657,35.2055,35.293,5106784
SBUX,2013-10-08,34.8,35.9519,34.7586,35.528,12663250
SBUX,2013-10-09,34.6756,34.9244,34.3036,34.7355,9482078
SBUX,2013-10-10,35.5326,35.6201,35.0765,35.1502,6638096
SBUX,2013-10-11,35.8551,35.8643,35.422,35.5787,5530376
SBUX,2013-10-14,35.9841,36.0855,35.5925,35.7238,5986662
SBUX,2013-10-15,35.3437,35.8897,35.293,35.8597,8146874
SBUX,2013-10-16,35.9565,36.0417,35.4266,35.5695,10103938
SBUX,2013-10-17,36.2767,36.3297,35.6847,35.786,6562580
SBUX,2013-10-18,36.5416,36.7075,36.385,36.5232,9049968
SBUX,2013-10-21,36.6107,36.8181,36.2468,36.4495,6770290
SBUX,2013-10-22,37.2742,37.3572,36.6753,36.8135,8419570
SBUX,2013-10-23,36.8826,37.2512,36.8089,37.0669,7908094
SBUX,2013-10-24,36.4218,36.6015,36.173,36.5647,13508366
SBUX,2013-10-25,36.8411,36.8595,36.5232,36.6154,7251840
SBUX,2013-10-28,36.2652,37.0577,36.18,36.9517,11242732
SBUX,2013-10-29,36.6845,36.6845,36.4218,36.4956,7898436
SBUX,2013-10-30,37.242,37.2512,36.749,37.1498,17518716
SBUX,2013-10-31,37.3433,37.606,36.2016,36.256,20491552
SBUX,2013-11-01,37.03,37.5691,36.7075,37.5691,12005206
SBUX,2013-11-04,37.03,37.2189,36.9563,37.2051,8285184
SBUX,2013-11-05,37.7764,37.9377,36.9287,37.0254,10092844
SBUX,2013-11-06,37.3802,38.0114,37.3065,37.9607,8562294
SBUX,2013-11-07,36.4311,37.4816,36.3988,37.4585,13283288
SBUX,2013-11-08,37.4124,37.4355,36.5831,36.6338,11487736
SBUX,2013-11-11,37.3157,37.5138,37.3111,37.4124,5146208
SBUX,2013-11-12,37.2625,37.4635,37.0337,37.3295,6613072
SBUX,2013-11-13,37.6536,37.6716,36.6038,36.627,12519058
SBUX,2013-11-14,37.5052,37.6901,37.3411,37.6855,7647688
SBUX,2013-11-15,37.5283,37.6485,37.3388,37.556,6445400
SBUX,2013-11-18,37.2279,37.5976,37.0753,37.4497,8322628
SBUX,2013-11-19,36.9413,37.4035,36.9135,36.9829,8725944
SBUX,2013-11-20,36.835,37.0938,36.6639,37.0383,8734150
SBUX,2013-11-21,37.6855,37.7409,36.8627,36.8858,13139094
SBUX,2013-11-22,37.6023,37.764,37.4867,37.764,7926170
SBUX,2013-11-25,37.3064,37.6623,37.214,37.6115,9001126
SBUX,2013-11-26,37.6762,37.7409,37.1655,37.3758,8767864
SBUX,2013-11-27,37.7271,37.8611,37.5329,37.6207,4752000
SBUX,2013-11-29,37.6531,38.0737,37.6115,37.8334,4387144
SBUX,2013-12-02,37.4728,37.759,37.3989,37.667,5773800
SBUX,2013-12-03,37.2325,37.5121,37.1123,37.3203,7893264
SBUX,2013-12-04,36.7471,37.3111,36.7194,37.1585,10206454
