symbol,date,close,high,low,open,volume
SNAP,2017-03-02,24.48,26.05,23.5,24,217109769
SNAP,2017-03-03,27.09,29.44,26.06,26.39,148227379
SNAP,2017-03-06,23.77,28.25,23.77,28.17,72938848
SNAP,2017-03-07,21.44,22.5,20.64,22.21,71899652
SNAP,2017-03-08,22.81,23.43,21.31,22.03,49834423
SNAP,2017-03-09,22.71,23.68,22.51,23.15,25803174
SNAP,2017-03-10,22.07,23.4,22,23.36,18337600
SNAP,2017-03-13,21.09,22.15,20.96,22.05,20605862
SNAP,2017-03-14,20.58,20.98,20.15,20.9,20033167
SNAP,2017-03-15,20.77,21.4,20.05,20.08,24985920
SNAP,2017-03-16,19.89,20.69,19.75,20.65,25630157
SNAP,2017-03-17,19.54,19.85,18.9,19.8,34251973
SNAP,2017-03-20,19.93,20.43,19.72,19.94,21016038
SNAP,2017-03-21,20.38,20.54,19.55,20.04,20080142
SNAP,2017-03-22,21.82,22.25,20.52,20.65,47599301
SNAP,2017-03-23,23.13,23.3,22.22,22.69,40645418
SNAP,2017-03-24,22.74,23.1,22.3398,23.05,17263232
SNAP,2017-03-27,23.83,24.4,22.5999,23.09,48398210
SNAP,2017-03-28,22.21,23.36,22.17,23.31,49889866
SNAP,2017-03-29,22.55,22.71,21.33,21.77,31475593
SNAP,2017-03-30,22.23,22.85,22,22.55,17094311
SNAP,2017-03-31,22.53,22.62,22,22.05,15087074
SNAP,2017-04-03,22.35,22.9,22.11,22.7,12521294
SNAP,2017-04-04,22.14,22.67,21.88,22.21,16313506
SNAP,2017-04-05,20.7,22.22,20.67,22.15,26099307
SNAP,2017-04-06,20.57,20.76,20.03,20.76,21933897
SNAP,2017-04-07,20.82,21.08,20.6,20.68,10574747
SNAP,2017-04-10,20.97,21.27,20.7,21.09,8629845
SNAP,2017-04-11,20.7,21.2,20.34,21.01,13310727
SNAP,2017-04-12,20.22,20.83,20.18,20.7,9362568
SNAP,2017-04-13,20.19,20.37,19.81,20.2,13600361
SNAP,2017-04-17,19.94,20.21,19.8,20.09,11714666
SNAP,2017-04-18,20.55,20.89,19.73,19.83,15974661
SNAP,2017-04-19,20.62,20.91,20.41,20.5,8737757
SNAP,2017-04-20,21.15,21.26,20.62,20.63,10025578
SNAP,2017-04-21,20.93,21.49,20.71,21.37,7742074
SNAP,2017-04-24,21.2,21.3,21.01,21.2,5928215
SNAP,2017-04-25,21.34,21.4,20.56,21.08,9588043
SNAP,2017-04-26,21.58,21.65,21.08,21.25,10141339
SNAP,2017-04-27,22.01,22.12,21.58,21.58,10764391
SNAP,2017-04-28,22.55,22.59,22.01,22.05,9031607
SNAP,2017-05-01,22.21,22.84,22.11,22.66,7959265
SNAP,2017-05-02,21.99,22.37,21.75,22.37,8135878
SNAP,2017-05-03,21.82,22.21,21.6328,21.8,7074347
SNAP,2017-05-04,22.59,23.22,21.9,22.18,18997904
SNAP,2017-05-05,23.19,23.25,22.51,23.08,12833904
SNAP,2017-05-08,22.46,23.57,22.2253,23.17,18088030
SNAP,2017-05-09,23.32,23.44,22.675,22.7,17934983
SNAP,2017-05-10,22.98,23.32,22.87,23.11,47513215
SNAP,2017-05-11,18.05,18.9,17.59,17.96,131859462
SNAP,2017-05-12,19.14,19.48,18.16,18.44,68971017
SNAP,2017-05-15,20.74,20.95,19.49,19.57,69830020
SNAP,2017-05-16,20.78,20.88,20.15,20.54,41017368
SNAP,2017-05-17,19.9,20.59,19.69,20.56,29254481
SNAP,2017-05-18,20.27,20.58,19.86,19.86,16005035
SNAP,2017-05-19,20,20.64,19.93,20.42,18960743
SNAP,2017-05-22,20.08,20.34,20.01,20.14,9151936
SNAP,2017-05-23,20.03,20.3,19.9,20.14,8239193
SNAP,2017-05-24,20.53,20.62,20,20.2,13810427
SNAP,2017-05-25,21.93,21.94,20.11,20.16,24325952
SNAP,2017-05-26,21.22,21.7,21.07,21.66,13374035
SNAP,2017-05-30,21.45,21.58,21.01,21.3,9509369
SNAP,2017-05-31,21.21,21.75,21.0942,21.5,9507158
SNAP,2017-06-01,21.34,21.45,21.19,21.32,7146544
SNAP,2017-06-02,21.09,21.45,21,21.34,9595392
SNAP,2017-06-05,20.21,20.89,20.14,20.52,15225105
SNAP,2017-06-06,20.36,20.44,20.13,20.22,6666421
SNAP,2017-06-07,19.56,20.489,19.45,20.37,16976983
SNAP,2017-06-08,18.85,19.4,18.18,19.4,32644868
SNAP,2017-06-09,18.08,18.46,17.88,18.41,31118878
SNAP,2017-06-12,18.2,18.43,17.56,18.05,16172929
SNAP,2017-06-13,18.1,18.58,18.08,18.38,11899206
SNAP,2017-06-14,17.88,18.29,17.76,18.25,9455240
SNAP,2017-06-15,17,17.75,17,17.72,22971179
SNAP,2017-06-16,17.54,17.88,17,17.14,18955724
SNAP,2017-06-19,17.88,18.34,17.03,17.85,28862728
SNAP,2017-06-20,17.31,17.89,17.23,17.82,13960967
SNAP,2017-06-21,17.27,17.43,17.13,17.27,8711473
SNAP,2017-06-22,17.64,17.8,17.21,17.45,9873476
SNAP,2017-06-23,17.54,17.82,17.47,17.82,7083637
SNAP,2017-06-26,17.29,17.73,17.23,17.7,9873280
SNAP,2017-06-27,17.34,17.48,17.2,17.21,7718562
SNAP,2017-06-28,17.76,17.78,17.33,17.34,10456962
SNAP,2017-06-29,17.89,18.13,17.67,17.69,12193935
SNAP,2017-06-30,17.77,18.0799,17.62,18.03,5993751
SNAP,2017-07-03,17.59,17.92,17.45,17.91,3285663
SNAP,2017-07-05,17.32,17.59,17.22,17.57,6042612
SNAP,2017-07-06,17.31,17.38,17.235,17.25,6191798
SNAP,2017-07-07,17.18,17.38,17.15,17.33,4546654
SNAP,2017-07-10,16.99,17.21,16.95,17.16,8566640
SNAP,2017-07-11,15.47,16.36,15.44,16.33,41936333
SNAP,2017-07-12,15.24,15.75,15.21,15.54,19528366
SNAP,2017-07-13,15.69,15.97,15.56,15.78,21598350
SNAP,2017-07-14,15.27,15.59,15.265,15.44,14645605
SNAP,2017-07-17,15.13,15.43,15.12,15.3,13289636
SNAP,2017-07-18,14.73,15.25,14.63,15.17,19933981
SNAP,2017-07-19,14.97,15.24,14.8,14.86,14394582
SNAP,2017-07-20,14.89,15.14,14.72,15.05,11870198
SNAP,2017-07-21,14.48,14.84,14.34,14.8,14252724
SNAP,2017-07-24,14.08,14.48,14.02,14.45,14763826
SNAP,2017-07-25,13.89,14.11,13.65,14.06,15148893
