symbol,date,close,high,low,open,volume
TWTR,2013-11-07,44.9,50.09,44,45.1,117647566
TWTR,2013-11-08,41.65,46.94,40.685,45.93,27900126
TWTR,2013-11-11,42.9,43,39.4,40.5,16109544
TWTR,2013-11-12,41.9,43.78,41.83,43.66,6316205
TWTR,2013-11-13,42.6,42.87,40.76,41.03,8675248
TWTR,2013-11-14,44.69,45.67,42.24,42.34,11092320
TWTR,2013-11-15,43.98,45.27,43.43,45.25,8010663
TWTR,2013-11-18,41.14,43.95,40.85,43.5,12810624
TWTR,2013-11-19,41.75,41.9,40,41.39,7436616
TWTR,2013-11-20,41.05,41.75,40.51,41.4,5767325
TWTR,2013-11-21,42.06,42.49,40.37,41.25,8324753
TWTR,2013-11-22,41,42.28,40.97,41.81,6185245
TWTR,2013-11-25,39.06,41.14,38.8,41.08,14333375
TWTR,2013-11-26,40.18,40.55,38.92,39.16,9828433
TWTR,2013-11-27,40.9,41.4,40.35,40.47,5536322
TWTR,2013-11-29,41.57,41.58,40.9,41.4,4107074
TWTR,2013-12-02,40.78,42,40.4,41.79,6427386
TWTR,2013-12-03,41.37,41.6,40.54,40.69,5776893
TWTR,2013-12-04,43.69,43.92,41.27,41.27,11028953
TWTR,2013-12-05,45.62,46.35,42.83,43.45,11813520
TWTR,2013-12-06,44.95,45.8,44.54,45.75,6236232
TWTR,2013-12-09,49.14,49.84,45.02,45.59,17366614
TWTR,2013-12-10,51.99,52.58,48.7,48.9,25792002
TWTR,2013-12-11,52.34,53.87,51,52.4,26631535
TWTR,2013-12-12,55.33,55.87,50.69,52.2,23446870
TWTR,2013-12-13,59,59.41,55.45,56.2,38979567
TWTR,2013-12-16,56.61,60.24,55.76,57.86,39310848
TWTR,2013-12-17,56.45,57.38,54.62,56.97,22115199
TWTR,2013-12-18,55.51,57,54.23,57,16659776
TWTR,2013-12-19,57.49,57.75,55,55.08,13174896
TWTR,2013-12-20,60.01,60.25,58.01,58.51,26207420
TWTR,2013-12-23,64.54,64.99,59.7,59.85,22163787
TWTR,2013-12-24,69.96,70.87,65.56,66.34,35802698
TWTR,2013-12-26,73.31,74.73,69.1301,72.88,82761072
TWTR,2013-12-27,63.75,71.25,63.69,70.1,60418668
TWTR,2013-12-30,60.51,63.71,58.57,60.27,55538253
TWTR,2013-12-31,63.65,65.22,61.65,62.36,27858516
TWTR,2014-01-02,67.5,67.5,64.4,65,29286655
TWTR,2014-01-03,69,70.43,68.432,69,33254610
TWTR,2014-01-06,66.29,66.87,63.5,64.83,27303649
TWTR,2014-01-07,61.46,67.73,61.39,67.67,31806111
TWTR,2014-01-08,59.29,61.26,57.92,58.71,27304350
TWTR,2014-01-09,57.05,60.81,55.59,59.54,31121971
TWTR,2014-01-10,57,58.76,55.87,57.5,22391578
TWTR,2014-01-13,57.82,60.38,57.294,59.98,21039027
TWTR,2014-01-14,58.21,59.02,57.36,58.88,14810026
TWTR,2014-01-15,61.57,61.75,58.32,59.11,21646397
TWTR,2014-01-16,60.57,62.4,60.46,61.45,16755251
TWTR,2014-01-17,62.2,64.69,61.59,63.6,28440701
TWTR,2014-01-21,62.53,63.44,61.5,63.33,13739691
TWTR,2014-01-22,62.44,63.8,61.76,63.11,12076892
TWTR,2014-01-23,62.8,62.81,60.88,61.45,10204702
TWTR,2014-01-24,61.74,63.62,61.3,62.17,13039731
TWTR,2014-01-27,57.91,61.77,56.1,61.77,19028084
TWTR,2014-01-28,60.44,60.85,57.35,57.44,9380780
TWTR,2014-01-29,59.45,60.95,58.6,59.62,9494690
TWTR,2014-01-30,63.47,65.24,62.8,63.98,17490124
TWTR,2014-01-31,64.5,65.37,62.65,63.39,15527717
TWTR,2014-02-03,65.25,66.48,64.21,65.92,18075264
TWTR,2014-02-04,66.32,66.37,64.5,66.25,13053271
TWTR,2014-02-05,65.97,67.24,64.8,67.16,34001488
TWTR,2014-02-06,50.03,53.9,49.99,50.61,64954379
TWTR,2014-02-07,54.35,54.92,50.75,51.23,32359106
TWTR,2014-02-10,52.92,54.59,52.34,54.5,15883618
