symbol,date,close,high,low,open,volume
YUM,2013-10-07,46.4083,46.6421,46.0575,46.1094,3246086
YUM,2013-10-08,46.5642,46.8316,46.0899,46.2914,6515294
YUM,2013-10-09,43.4164,43.7234,42.3976,42.9397,20625849
YUM,2013-10-10,43.0638,43.854,42.8874,43.6581,6865343
YUM,2013-10-11,43.756,43.8396,42.9789,43.0834,5609753
YUM,2013-10-14,43.7168,43.9454,43.4621,43.6515,3283205
YUM,2013-10-15,42.9723,43.6973,42.9462,43.6842,4980087
YUM,2013-10-16,43.4034,43.4948,43.1813,43.214,3800464
YUM,2013-10-17,44.0107,44.0695,43.3119,43.3642,4084674
YUM,2013-10-18,43.547,44.272,43.5079,44.2197,4839165
YUM,2013-10-21,43.6581,43.8083,43.4034,43.5928,3373446
YUM,2013-10-22,43.8017,43.9389,43.6124,43.7822,4227613
YUM,2013-10-23,42.5609,43.756,41.849,43.756,10121546
YUM,2013-10-24,43.103,43.116,42.587,42.7242,2713119
YUM,2013-10-25,43.4752,43.7528,43.1421,43.2728,2719152
YUM,2013-10-28,43.5993,43.7234,43.4752,43.4752,2150671
YUM,2013-10-29,43.7952,43.854,43.6058,43.6907,2037461
YUM,2013-10-30,44.5136,44.7356,44.063,44.063,3831109
YUM,2013-10-31,44.1609,44.4091,43.8344,44.3438,2564257
YUM,2013-11-01,44.7226,44.8075,44.0904,44.1544,3277713
YUM,2013-11-04,45.6565,45.7153,44.925,45.0034,4211688
YUM,2013-11-05,45.8655,45.9231,45.2059,45.3822,2909026
YUM,2013-11-06,45.9308,46.1724,45.5912,45.9242,2945108
YUM,2013-11-07,45.5846,46.1724,45.4736,45.9961,2645420
YUM,2013-11-08,46.0875,46.1234,45.2516,45.4736,3025248
YUM,2013-11-11,46.8516,47.472,46.1145,46.3161,5110535
YUM,2013-11-12,46.6883,46.8516,46.1822,46.7341,4835787
YUM,2013-11-13,47.7986,47.8377,46.4989,46.5969,4691523
YUM,2013-11-14,47.8965,47.9945,47.6306,47.8051,2461375
YUM,2013-11-15,48.3145,48.321,47.792,47.988,2996160
YUM,2013-11-18,47.9422,48.4876,47.8639,48.2296,2651453
YUM,2013-11-19,48.1839,48.321,47.8443,48.001,1994893
YUM,2013-11-20,47.2304,48.3276,47.0867,48.3276,3713943
YUM,2013-11-21,48.9284,49.0786,47.2434,47.3088,5691020
YUM,2013-11-22,51.1358,51.3839,49.4966,49.5162,8320327
YUM,2013-11-25,50.9464,51.1815,50.5807,50.8615,2916764
YUM,2013-11-26,50.7113,51.1227,50.5415,50.548,3254027
YUM,2013-11-27,50.6721,50.7374,50.2084,50.6003,2419093
YUM,2013-11-29,50.7309,51.0966,50.5219,50.6721,1361339
YUM,2013-12-02,50.7505,51.3121,50.5349,50.6525,2503655
YUM,2013-12-03,49.379,49.9015,48.8696,49.2419,6714816
YUM,2013-12-04,49.4117,49.7382,49.2419,49.4117,2471501
YUM,2013-12-05,48.5823,49.17,48.3276,49.0459,3789765
YUM,2013-12-06,48.5692,49.2027,48.3798,49.1439,2890773
YUM,2013-12-09,48.5235,48.7978,48.4386,48.5692,2788148
YUM,2013-12-10,47.9422,48.5235,47.8312,48.5235,2486100
YUM,2013-12-11,47.6092,48.3406,47.5177,48.0598,1912422
YUM,2013-12-12,46.7602,47.6026,46.6949,47.4328,2957321
YUM,2013-12-13,46.8973,47.4459,46.7798,46.8516,2225462
YUM,2013-12-16,47.8247,48.2557,47.4786,47.7202,2958967
YUM,2013-12-17,46.9365,47.7973,46.8581,47.7202,2470213
YUM,2013-12-18,47.4981,47.5047,46.5316,46.9365,2599494
YUM,2013-12-19,47.5112,47.6288,46.8777,47.3349,2696738
YUM,2013-12-20,47.9292,48.1904,47.5243,47.5765,3100324
YUM,2013-12-23,48.308,48.3276,47.5504,48.001,1827668
YUM,2013-12-24,48.3929,48.4516,48.0859,48.3014,708115
YUM,2013-12-26,48.3994,48.5888,48.2753,48.4059,812567
YUM,2013-12-27,48.2427,48.5953,48.0402,48.5953,872341
YUM,2013-12-30,48.9284,48.961,48.2231,48.2296,1953272
YUM,2013-12-31,49.379,49.9015,48.9806,48.9806,2132916
YUM,2014-01-02,49.0394,49.379,48.8696,49.2288,1956285
YUM,2014-01-03,49.3464,49.699,48.9806,49.281,1457058
YUM,2014-01-06,49.3072,49.7251,49.17,49.3202,2940835
YUM,2014-01-07,49.9994,50.4239,49.9145,50.2149,3625927
YUM,2014-01-08,49.9798,50.5023,49.7709,50.0778,4448753
YUM,2014-01-09,49.0133,49.9798,48.8174,48.9219,3786054
YUM,2014-01-10,48.9937,49.5749,48.8239,49.2419,2590190
YUM,2014-01-13,47.9422,49.059,47.8835,48.9872,3492762
YUM,2014-01-14,47.8247,48.4125,47.7724,48.0141,4481204
YUM,2014-01-15,48.0282,48.4417,47.9035,48.0741,3170508
