symbol,begins_at,close_price,high_price,low_price,open_price,volume
GOOG,2014-03-27,558.46,568,552.92,568,13052
GOOG,2014-03-28,559.99,566.43,558.67,561.2,41003
GOOG,2014-03-31,556.97,567,556.93,566.89,10772
GOOG,2014-04-01,567.16,568.45,558.71,558.71,7932
GOOG,2014-04-02,567,604.83,562.19,565.106,146697
GOOG,2014-04-03,569.74,587.28,564.13,569.85,5087530
GOOG,2014-04-04,543.14,577.77,543,574.65,6377658
GOOG,2014-04-07,538.15,548.48,527.15,540.74,4389569
GOOG,2014-04-08,554.9,555,541.61,542.6,3152406
GOOG,2014-04-09,564.14,565.37,552.95,559.62,3324742
GOOG,2014-04-10,540.95,565,539.9,565,4027743
GOOG,2014-04-11,530.6,540,526.53,532.55,3916171
GOOG,2014-04-14,532.52,544.1,529.561,538.25,2568020
GOOG,2014-04-15,536.44,538.45,518.4601,536.82,3847453
GOOG,2014-04-16,556.54,557,540,543,4879889
GOOG,2014-04-17,536.1,549.5,531.15,548.81,6795393
GOOG,2014-04-21,528.62,536.7,525.6,536.1,2561214
GOOG,2014-04-22,534.81,537.23,527.51,528.64,2359421
GOOG,2014-04-23,526.94,533.87,526.25,533.79,2051066
GOOG,2014-04-24,525.16,531.65,522.12,530.07,1881965
GOOG,2014-04-25,516.18,524.7,515.42,522.51,2097264
GOOG,2014-04-28,517.15,518.6,502.8,517.18,3326429
GOOG,2014-04-29,527.7,529.46,516.32,516.9,2692489
GOOG,2014-04-30,526.66,528,522.52,527.6,1746904
GOOG,2014-05-01,531.35,532.93,523.88,527.11,1900432
GOOG,2014-05-02,527.93,533.9999,525.61,533.76,1685042
GOOG,2014-05-05,527.81,528.9,521.32,524.82,1021408
GOOG,2014-05-06,515.14,526.81,515.06,525.23,1684381
GOOG,2014-05-07,509.96,516.68,503.3,515.79,3216077
GOOG,2014-05-08,511,517.23,506.45,508.46,2016131
GOOG,2014-05-09,518.73,519.9,504.2,510.75,2432783
GOOG,2014-05-12,529.92,530.19,519.01,523.51,1908392
GOOG,2014-05-13,533.09,536.07,529.51,530.89,1648907
GOOG,2014-05-14,526.65,533,525.29,533,1191863
GOOG,2014-05-15,519.98,525.87,517.42,525.7,1703758
GOOG,2014-05-16,520.63,521.8,515.44,521.39,1481688
GOOG,2014-05-19,528.86,529.78,517.583,519.7,1276362
GOOG,2014-05-20,529.77,536.23,526.3,529.74,1780113
GOOG,2014-05-21,538.94,539.1828,531.91,532.9,1193389
GOOG,2014-05-22,545.06,547.5999,540.78,541.13,1611837
GOOG,2014-05-23,552.7,553.64,543.7,547.26,1929632
GOOG,2014-05-27,565.95,566,554.35,556,2100298
GOOG,2014-05-28,561.68,567.84,561,564.57,1647717
GOOG,2014-05-29,560.08,564,558.71,563.35,1350657
GOOG,2014-05-30,559.89,561.35,555.91,560.8,1766794
GOOG,2014-06-02,553.93,560.9,545.73,560.7,1434989
GOOG,2014-06-03,544.94,552.34,542.55,550.99,1861921
GOOG,2014-06-04,544.66,548.61,538.75,541.5,1812084
GOOG,2014-06-05,553.9,554.95,544.45,546.4,1684886
GOOG,2014-06-06,556.33,558.06,548.93,558.06,1732592
GOOG,2014-06-09,562.12,562.9,556.04,557.15,1463676
GOOG,2014-06-10,560.55,563.6,557.9,560.51,1349444
GOOG,2014-06-11,558.84,559.88,555.0201,558,1097380
GOOG,2014-06-12,551.35,557.99,548.46,557.3,1457104
GOOG,2014-06-13,551.76,552.3,545.56,552.26,1217176
GOOG,2014-06-16,544.28,549.62,541.52,549.26,1704027
GOOG,2014-06-17,543.01,545.32,539.33,544.2,1445878
GOOG,2014-06-18,553.37,553.56,544,544.86,1737343
GOOG,2014-06-19,554.9,555,548.51,554.24,2451341
GOOG,2014-06-20,556.36,557.58,550.3915,556.85,4496962
GOOG,2014-06-23,564.95,565,554.25,555.15,1534659
GOOG,2014-06-24,564.62,572.646,561.01,565.19,2201789
GOOG,2014-06-25,578.65,579.96,565.22,565.26,1964447
GOOG,2014-06-26,576,582.45,571.85,581,1737210
GOOG,2014-06-27,577.24,579.87,573.8,577.18,2231174
GOOG,2014-06-30,575.28,579.57,574.75,578.66,1310909
GOOG,2014-07-01,582.67,584.4,576.65,578.32,1446309
GOOG,2014-07-02,582.335,585.4399,580.39,583.35,1054936
GOOG,2014-07-03,584.73,585.01,580.92,583.35,712210
GOOG,2014-07-07,582.25,586.4299,579.59,583.76,1061833
GOOG,2014-07-08,571.09,579.5284,566.135,577.66,1908647
GOOG,2014-07-09,576.08,576.72,569.376,571.58,1113907
GOOG,2014-07-10,571.1,576.59,565.01,565.91,1353317
GOOG,2014-07-11,579.18,580.85,571.42,571.91,1617569
GOOG,2014-07-14,584.87,585.21,578.03,582.6,1852290
GOOG,2014-07-15,584.78,585.8045,576.56,585.74,1618815
GOOG,2014-07-16,582.66,588.4,582.2,588,1394560
GOOG,2014-07-17,573.7299,580.99,568.61,579.53,3015475
GOOG,2014-07-18,595.08,596.8,582,593,4006389
GOOG,2014-07-21,589.47,594.4,585.2326,591.75,2060334
GOOG,2014-07-22,594.74,599.65,590.6,590.72,1694787
GOOG,2014-07-23,595.98,597.85,592.5,593.23,1229846
GOOG,2014-07-24,593.35,599.5,591.77,596.45,1033341
GOOG,2014-07-25,589.02,591.86,587.03,590.4,932724
GOOG,2014-07-28,590.6,592.5,584.7533,588.07,984161
GOOG,2014-07-29,585.61,589.7,583.515,588.75,1346647
GOOG,2014-07-30,587.42,589.5,584,586.55,1013932
GOOG,2014-07-31,571.6,583.6499,570,580.6,2099516
GOOG,2014-08-01,566.07,575.9599,562.85,570.4,1950171
GOOG,2014-08-04,573.15,575.35,564.1,569.04,1427169
GOOG,2014-08-05,565.07,571.98,562.61,570.05,1556685
GOOG,2014-08-06,566.374,570.7,560,561.78,1330877
GOOG,2014-08-07,563.36,569.89,561.1,568,1108900
GOOG,2014-08-08,568.77,570.25,560.35,563.56,1492491
GOOG,2014-08-11,567.88,570.49,566,569.99,1215968
GOOG,2014-08-12,562.73,565.9,560.88,564.52,1537758
GOOG,2014-08-13,574.78,575,565.75,567.31,1435281
GOOG,2014-08-14,574.65,577.9,570.88,576.18,982926
GOOG,2014-08-15,573.48,579.38,570.52,577.86,1517056
GOOG,2014-08-18,582.16,584.51,576,576.11,1282531
GOOG,2014-08-19,586.86,587.34,584,585,979298
GOOG,2014-08-20,584.49,586.7,582.57,585.88,1034779
GOOG,2014-08-21,583.37,584.5,581.14,583.82,912854
GOOG,2014-08-22,582.56,585.236,580.64,583.59,789484
GOOG,2014-08-25,580.2,585,579,584.72,1358810
GOOG,2014-08-26,577.86,581.8,576.58,581.26,1635465
GOOG,2014-08-27,571,578.49,570.103,577.27,1700161
GOOG,2014-08-28,569.2,573.25,567.1,569.56,1295963
GOOG,2014-08-29,571.6,572.04,567.0692,571.33,1081231
GOOG,2014-09-02,577.33,577.83,571.19,571.85,1576830
GOOG,2014-09-03,577.94,582.99,575,580,1214586
GOOG,2014-09-04,581.98,586,579.22,580,1459956
GOOG,2014-09-05,586.08,586.55,581.95,583.98,1629477
GOOG,2014-09-08,589.72,591.77,586.3,586.6,1429101
GOOG,2014-09-09,581.01,589,580,588.9,1286722
