symbol,date,close,high,low,open,volume
GOOGL,2013-10-07,433.3029,437.432,432.4871,434.1587,2585249
GOOGL,2013-10-08,427.2618,433.423,426.2408,433.0927,3894014
GOOGL,2013-10-09,428.3579,431.7563,421.9115,428.5681,5297349
GOOGL,2013-10-10,434.5541,434.8494,430.5351,432.3519,4513349
GOOGL,2013-10-11,436.431,437.1767,433.0827,433.448,2815009
GOOGL,2013-10-14,438.4931,438.5631,433.1277,433.7633,2484861
GOOGL,2013-10-15,441.446,443.2578,437.437,438.3179,3186368
GOOGL,2013-10-16,449.4635,449.6142,442.447,443.3779,4019552
GOOGL,2013-10-17,444.8414,448.8985,443.3079,446.9415,8504739
GOOGL,2013-10-18,506.2097,508.2378,487.487,488.7783,23145371
GOOGL,2013-10-21,502.1517,510.0095,500.2748,506.2357,7259073
GOOGL,2013-10-22,504.0035,507.0065,498.3934,503.0025,4418539
GOOGL,2013-10-23,516.2192,517.8923,500.8153,501.0005,5329842
GOOGL,2013-10-24,513.2878,520.8053,512.9124,516.4509,4182126
GOOGL,2013-10-25,508.1076,514.9244,505.8754,514.9244,4057618
GOOGL,2013-10-28,508.0075,512.2267,506.999,508.1076,2330470
GOOGL,2013-10-29,518.6381,518.9885,507.2568,510.0596,3213379
GOOGL,2013-10-30,515.7252,519.2738,513.513,519.2337,2651548
GOOGL,2013-10-31,515.8053,521.2827,512.497,514.9795,3276793
GOOGL,2013-11-01,514.0335,518.518,513.0625,516.4109,2565311
GOOGL,2013-11-04,513.5661,516.7012,511.526,516.2658,2276094
GOOGL,2013-11-05,511.2708,516.3408,509.2187,510.6852,2360615
GOOGL,2013-11-06,511.8864,514.0135,508.1927,513.3128,1827421
GOOGL,2013-11-07,504.479,512.477,504.3238,511.8163,3356785
GOOGL,2013-11-08,508.523,509.7593,504.7543,504.8794,2586430
GOOGL,2013-11-11,505.8003,508.473,504.504,505.2598,2223333
GOOGL,2013-11-12,506.3959,509.2888,503.0025,504.3539,2435485
GOOGL,2013-11-13,516.7512,516.9414,503.7532,503.8784,3164843
GOOGL,2013-11-14,518.1326,520.3949,515.6902,517.477,2334603
GOOGL,2013-11-15,517.2968,519.519,515.6707,517.9524,2552991
GOOGL,2013-11-18,516.2908,524.8944,515.1358,518.3929,3516981
GOOGL,2013-11-19,513.1146,517.8924,512.0365,516.3759,2260977
GOOGL,2013-11-20,511.6662,517.1967,510.6902,515.49,1929141
GOOGL,2013-11-21,517.552,519.6742,513.513,514.0135,2182811
GOOGL,2013-11-22,516.4609,518.6031,515.1259,517.2267,2506114
GOOGL,2013-11-25,523.488,527.1216,518.0288,519.0986,3222795
GOOGL,2013-11-26,529.7342,531.2808,521.989,524.8243,4569794
GOOGL,2013-11-27,532.0866,534.534,530.53,531.546,2244873
GOOGL,2013-11-29,530.3248,533.8433,530.2547,531.6111,2383163
GOOGL,2013-12-02,527.7672,533.7082,525.9054,532.2868,2747720
GOOGL,2013-12-03,527.1566,532.2517,525.0345,526.0005,3352755
GOOGL,2013-12-04,529.6191,532.522,525.525,526.2107,2381896
GOOGL,2013-12-05,529.1987,530.3598,526.0705,529.1286,2267570
GOOGL,2013-12-06,535.4699,535.535,530.57,535.4299,2859610
GOOGL,2013-12-09,539.6091,541.6962,534.544,536.0305,2965241
GOOGL,2013-12-10,542.8723,546.7012,538.3628,538.6131,3708515
GOOGL,2013-12-11,539.1836,546.2057,538.1226,544.2437,3420250
GOOGL,2013-12-12,535.515,542.0115,535.0345,540.3248,3189806
GOOGL,2013-12-13,530.9254,538.6831,529.4714,538.2377,4325193
GOOGL,2013-12-16,537.0265,537.8823,531.536,532.532,3209141
GOOGL,2013-12-17,535.4649,540.9204,534.7242,536.9464,3076757
GOOGL,2013-12-18,542.9174,543.0175,530.0495,536.4609,4420671
GOOGL,2013-12-19,543.6531,546.541,540.0795,540.9241,3328683
GOOGL,2013-12-20,550.8603,551.1356,544.544,544.6942,6528306
GOOGL,2013-12-23,558.1075,558.4579,553.1126,554.4739,3443417
GOOGL,2013-12-24,556.4759,558.1776,554.6041,558.0425,1466873
GOOGL,2013-12-26,559.2887,560.0595,554.8993,557.562,2674340
GOOGL,2013-12-27,559.7592,560.7001,557.0265,560.56,3137143
GOOGL,2013-12-30,555.2847,560.8102,555.0645,560.7302,2470947
GOOGL,2013-12-31,560.9154,561.0605,553.6831,556.6761,2713886
GOOGL,2014-01-02,557.1166,559.4339,554.6842,558.2877,3641796
GOOGL,2014-01-03,553.0525,559.0235,553.0175,558.0575,3335123
GOOGL,2014-01-06,559.2187,559.9894,553.7732,557.0615,3538026
GOOGL,2014-01-07,569.9982,570.4148,561.1406,563.0625,5102895
GOOGL,2014-01-08,571.1856,574.2337,567.2116,573.573,4482406
GOOGL,2014-01-09,565.6851,572.6821,563.3428,572.2917,4166963
GOOGL,2014-01-10,565.6551,570.1095,561.6861,570.1095,4286833
GOOGL,2014-01-13,562.0515,574.0284,559.1436,563.7982,4846384
GOOGL,2014-01-14,575.2747,576.0755,564.609,569.544,4964064
GOOGL,2014-01-15,574.8843,578.0775,572.4669,577.0715,3898126
GOOGL,2014-01-16,578.6881,579.5435,574.574,575.1245,3368030
GOOGL,2014-01-17,575.8403,580.8953,572.6721,579.0034,5526753
GOOGL,2014-01-21,582.4319,582.582,576.2256,581.0455,3958240
GOOGL,2014-01-22,583.0925,584.5289,580.0094,583.8883,3144547
GOOGL,2014-01-23,580.63,581.8262,577.7622,580.58,3899387
GOOGL,2014-01-24,562.4769,577.3493,562.0615,576.0805,7844849
GOOGL,2014-01-27,551.1656,563.8133,541.6761,563.6131,8717239
GOOGL,2014-01-28,562.0665,563.4374,555.525,555.7152,4431015
GOOGL,2014-01-29,554.0135,561.4359,550.2597,560.1196,4818464
GOOGL,2014-01-30,568.2647,576.8212,564.1886,573.0725,10271942
GOOGL,2014-01-31,591.0755,593.8633,576.1406,586.2607,11128460
GOOGL,2014-02-03,567.2817,591.4519,566.5685,590.1896,9142062
GOOGL,2014-02-04,569.6491,578.0775,569.0735,569.564,5625848
GOOGL,2014-02-05,572.1716,575.9604,564.574,572.2617,4796442
GOOGL,2014-02-06,580.56,580.6601,574.3488,576.1406,3892615
GOOGL,2014-02-07,589.3087,589.5389,580.8608,584.3988,5369247
GOOGL,2014-02-10,587.0515,591.7912,585.0945,586.4859,3887391
GOOGL,2014-02-11,595.6851,596.529,586.6911,590.6751,4101524
GOOGL,2014-02-12,593.9383,595.595,591.2807,595.0945,3447898
GOOGL,2014-02-13,600.5499,600.5499,590.4198,590.9654,3670172
GOOGL,2014-02-14,602.0014,602.7972,596.9964,598.4028,4384276
GOOGL,2014-02-18,606.0454,607.0414,600.6,601.3057,4217243
GOOGL,2014-02-19,601.7712,605.2146,599.3498,603.2527,4207187
GOOGL,2014-02-20,602.6571,604.0459,600.7101,602.1716,3400388
GOOGL,2014-02-21,602.4969,605.5399,602.0189,604.5089,3722587
GOOGL,2014-02-24,606.8613,610.6901,603.1526,603.2827,3347574
GOOGL,2014-02-25,610.61,612.8623,605.8169,608.578,2885475
GOOGL,2014-02-26,610.6951,615.0544,607.4869,612.612,3963644
GOOGL,2014-02-27,610.2146,612.7296,609.114,609.8042,2519069
GOOGL,2014-02-28,608.4328,612.7071,603.7131,610.7802,4624567
GOOGL,2014-03-03,601.9463,604.5239,596.6661,603.9784,4204777
GOOGL,2014-03-04,608.0625,608.608,605.3547,608.1075,2939123
GOOGL,2014-03-05,609.7391,612.1515,606.3087,608.1325,2469910
GOOGL,2014-03-06,610.4148,613.6856,609.9093,611.7511,2536645
GOOGL,2014-03-07,608.0024,614.1061,606.3247,614.0134,3027992
GOOGL,2014-03-10,606.3908,609.4263,602.6471,608.4528,2428458
GOOGL,2014-03-11,600.595,607.7671,598.9183,607.4919,3427419
GOOGL,2014-03-12,604.2536,604.5289,592.6871,598.7982,3929924
GOOGL,2014-03-13,595.1245,605.8552,592.9724,604.579,4686593
