symbol,date,close,high,low,open,volume
PCAR,2013-10-07,47.4436,47.9014,47.2017,47.4349,1203414
PCAR,2013-10-08,46.7093,47.5386,46.6747,47.3312,1452065
PCAR,2013-10-09,46.8561,47.0721,46.3637,46.787,1496600
PCAR,2013-10-10,48.126,48.2038,47.2535,47.2967,1988507
PCAR,2013-10-11,48.545,48.6098,47.7545,47.7632,997284
PCAR,2013-10-14,48.8776,49.0071,48.1174,48.1951,919828
PCAR,2013-10-15,48.342,48.9121,48.2124,48.5407,1138758
PCAR,2013-10-16,49.1972,49.2404,48.342,48.8948,1198399
PCAR,2013-10-17,49.6205,49.668,48.6875,48.9553,1065736
PCAR,2013-10-18,49.7242,49.8797,49.478,49.6723,1070721
PCAR,2013-10-21,49.8105,49.8408,49.3613,49.6119,1080920
PCAR,2013-10-22,50.4584,50.6226,49.871,50.1043,1314323
PCAR,2013-10-23,50.277,50.4412,49.9142,50.0783,1157208
PCAR,2013-10-24,50.5103,50.5491,49.9833,50.4584,944465
PCAR,2013-10-25,50.5794,50.6571,49.8192,50.6571,1532435
PCAR,2013-10-28,50.2857,50.7694,50.0697,50.4498,1824432
PCAR,2013-10-29,48.9208,49.6551,47.8928,49.3009,4228579
PCAR,2013-10-30,48.0051,49.0071,47.7632,48.7048,2353232
PCAR,2013-10-31,48.031,48.3074,47.7891,48.1346,1693247
PCAR,2013-11-01,48.5666,48.6098,47.8409,48.1865,2552957
PCAR,2013-11-04,48.8689,48.8862,48.4716,48.7307,1297814
PCAR,2013-11-05,49.4564,49.9574,48.2858,48.4888,2473103
PCAR,2013-11-06,49.1454,49.8451,49.0244,49.8451,953688
PCAR,2013-11-07,48.4111,49.3786,48.3161,49.2145,1215109
PCAR,2013-11-08,49.1022,49.1022,48.2988,48.3852,1239563
PCAR,2013-11-11,49.2404,49.3181,48.9294,49.1108,1087765
PCAR,2013-11-12,49.0763,49.6205,48.7393,49.249,1686729
PCAR,2013-11-13,49.0589,49.0589,48.5821,48.5821,1338186
PCAR,2013-11-14,49.4144,49.4404,48.9462,49.241,884388
PCAR,2013-11-15,49.4144,49.5964,49.2757,49.4491,1061396
PCAR,2013-11-18,48.8769,49.7091,48.8075,49.4491,1245711
PCAR,2013-11-19,48.166,48.9809,48.114,48.6081,1467344
PCAR,2013-11-20,47.8929,48.4174,47.7066,48.4174,985535
PCAR,2013-11-21,48.8162,48.8942,47.8539,48.1313,1132604
