symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
F,2017-10-06,11.547300,11.566100,False,11.437100,11.444200,reg,35091790
F,2017-10-09,11.575500,11.641100,False,11.491100,11.566100,reg,28924795
F,2017-10-10,11.622400,11.650500,False,11.491100,11.575500,reg,40586234
F,2017-10-11,11.613000,11.659900,False,11.547300,11.566100,reg,34953438
F,2017-10-12,11.369100,11.556700,False,11.359700,11.538000,reg,45924434
F,2017-10-13,11.303500,11.416000,False,11.134600,11.312800,reg,44597334
F,2017-10-16,11.369100,11.397300,False,11.219000,11.247200,reg,32349675
F,2017-10-17,11.509800,11.547300,False,11.369100,11.378500,reg,55273235
F,2017-10-18,11.434800,11.584900,False,11.416000,11.519200,reg,30783686
F,2017-10-19,11.472300,11.491100,False,11.303500,11.387900,reg,29678158
F,2017-10-20,11.491300,11.529300,False,11.396300,11.510300,reg,28171651
F,2017-10-23,11.434300,11.576800,False,11.434300,11.500800,reg,21504813
F,2017-10-24,11.576800,11.643200,False,11.482700,11.500800,reg,34651185
F,2017-10-25,11.434300,11.538800,False,11.367800,11.538800,reg,47674841
F,2017-10-26,11.652700,11.719200,False,11.453300,11.586300,reg,49003126
F,2017-10-27,11.453300,11.624300,False,11.405900,11.614800,reg,33925366
F,2017-10-30,11.491300,11.538800,False,11.348800,11.405800,reg,36457435
F,2017-10-31,11.652700,11.681200,False,11.518800,11.538800,reg,42010246
F,2017-11-01,11.728700,11.842700,False,11.657700,11.776200,reg,43495830
F,2017-11-02,11.795200,11.804700,False,11.643200,11.709700,reg,40923421
F,2017-11-03,11.738200,11.833200,False,11.700200,11.785700,reg,33220261
F,2017-11-06,11.709700,11.804700,False,11.681200,11.738200,reg,20178513
F,2017-11-07,11.548300,11.757200,False,11.500800,11.728700,reg,41536291
F,2017-11-08,11.453300,11.548300,False,11.405800,11.529300,reg,34127543
F,2017-11-09,11.434300,11.443800,False,11.329800,11.405800,reg,26257259
F,2017-11-10,11.405800,11.481800,False,11.377300,11.396300,reg,35298374
F,2017-11-13,11.548300,11.605300,False,11.367800,11.405800,reg,30415855
F,2017-11-14,11.415300,11.548300,False,11.386800,11.491300,reg,25893421
F,2017-11-15,11.396300,11.424800,False,11.272900,11.367800,reg,28441307
F,2017-11-16,11.434300,11.443800,False,11.329800,11.396300,reg,28269046
F,2017-11-17,11.405800,11.453300,False,11.382100,11.415300,reg,31117727
F,2017-11-20,11.519800,11.538800,False,11.415300,11.424800,reg,32352040
F,2017-11-21,11.510300,11.610000,False,11.510300,11.529300,reg,28510260
F,2017-11-22,11.462800,11.538800,False,11.443800,11.500800,reg,36184010
F,2017-11-24,11.491300,11.538800,False,11.424800,11.491300,reg,9549629
F,2017-11-27,11.500800,11.576800,False,11.453300,11.481800,reg,28525156
F,2017-11-28,11.595800,11.624300,False,11.472300,11.538800,reg,33199323
F,2017-11-29,11.928200,11.937700,False,11.614800,11.624300,reg,64865974
F,2017-11-30,11.890200,12.013600,False,11.795200,11.899700,reg,49224189
F,2017-12-01,11.947100,12.061100,False,11.728700,11.985100,reg,52458736
F,2017-12-04,11.994600,12.165600,False,11.956600,12.013600,reg,39558857
F,2017-12-05,11.804700,11.985100,False,11.776200,11.795200,reg,45527163
F,2017-12-06,11.757200,11.804700,False,11.662200,11.747700,reg,28453762
F,2017-12-07,11.899700,11.956600,False,11.709700,11.942400,reg,25417119
F,2017-12-08,11.975600,11.975600,False,11.804700,11.899700,reg,21981870
F,2017-12-11,11.947100,11.994600,False,11.880700,11.937700,reg,44194633
F,2017-12-12,11.966100,11.999400,False,11.880700,11.966100,reg,54370612
F,2017-12-13,11.994600,12.084900,False,11.956600,11.975600,reg,31858995
F,2017-12-14,11.833200,12.051600,False,11.785700,12.013600,reg,37073960
F,2017-12-15,11.947100,12.023100,False,11.871200,11.880700,reg,48655453
F,2017-12-18,12.023100,12.108600,False,11.975600,12.023100,reg,25022657
F,2017-12-19,12.051600,12.137100,False,12.023100,12.070600,reg,23056884
F,2017-12-20,12.080100,12.108600,False,12.013600,12.080100,reg,18989429
F,2017-12-21,11.994600,12.127600,False,11.994600,12.099100,reg,21004663
F,2017-12-22,11.947100,12.023100,False,11.928200,12.023100,reg,17876156
F,2017-12-26,11.966100,12.013600,False,11.918700,11.937700,reg,11664564
F,2017-12-27,11.871200,11.947100,False,11.823700,11.937700,reg,17005626
F,2017-12-28,11.947100,11.947100,False,11.842700,11.852200,reg,14793534
F,2017-12-29,11.861700,11.975600,False,11.861700,11.947100,reg,18362455
F,2018-01-02,12.023100,12.023100,False,11.871200,11.890200,reg,20773320
F,2018-01-03,12.118100,12.156100,False,12.032600,12.042100,reg,29765638
F,2018-01-04,12.327000,12.384000,False,12.127600,12.137100,reg,37478200
F,2018-01-05,12.536000,12.555000,False,12.384000,12.403000,reg,46121873
F,2018-01-08,12.488500,12.555000,False,12.450500,12.545500,reg,33828330
F,2018-01-09,12.422000,12.555000,False,12.422000,12.517000,reg,27924109
F,2018-01-10,12.374500,12.478000,False,12.308000,12.403000,reg,56517139
F,2018-01-11,12.498000,12.536000,False,12.346000,12.365000,reg,28342293
F,2018-01-12,12.564400,12.621400,False,12.441000,12.441000,reg,56979186
F,2018-01-16,12.441000,12.801900,False,12.355500,12.640400,reg,53961375
F,2018-01-17,11.567300,11.947100,False,11.491300,11.947100,reg,132412533
F,2018-01-18,11.462800,11.586300,False,11.415300,11.567300,reg,66541729
F,2018-01-19,11.396300,11.510300,False,11.310900,11.510300,reg,51303747
F,2018-01-22,11.415300,11.472300,False,11.301400,11.415300,reg,52851915
F,2018-01-23,11.358300,11.424800,False,11.301400,11.424800,reg,51830968
F,2018-01-24,11.443800,11.481800,False,11.320300,11.396300,reg,63300483
F,2018-01-25,10.988000,11.329800,False,10.864500,11.329800,reg,114886820
F,2018-01-26,11.063900,11.111400,False,10.921500,11.007000,reg,52496001
F,2018-01-29,10.820700,11.161200,False,10.810900,11.112600,reg,55113971
F,2018-01-30,10.762300,10.927700,False,10.752500,10.791500,reg,52068187
F,2018-01-31,10.674700,10.815800,False,10.606600,10.791500,reg,57644576
F,2018-02-01,10.626000,10.703900,False,10.557900,10.655200,reg,41352192
F,2018-02-02,10.421700,10.587100,False,10.334100,10.587100,reg,72312922
F,2018-02-05,9.964400,10.509300,False,9.964400,10.489800,reg,96756955
F,2018-02-06,10.470400,10.499500,False,9.915700,9.993500,reg,139938127
F,2018-02-07,10.470400,10.742800,False,10.412000,10.460600,reg,68041787
F,2018-02-08,10.149200,10.567700,False,10.139500,10.499500,reg,73990734
F,2018-02-09,10.246500,10.353600,False,9.964400,10.285500,reg,72103620
F,2018-02-12,10.412000,10.528700,False,10.259800,10.382800,reg,49068946
F,2018-02-13,10.304900,10.402200,False,10.246500,10.343900,reg,36884488
F,2018-02-14,10.450900,10.460600,False,10.217400,10.266000,reg,27844338
F,2018-02-15,10.470400,10.509300,False,10.353600,10.509300,reg,28208311
F,2018-02-16,10.324400,10.528700,False,10.236800,10.412000,reg,41041761
F,2018-02-20,10.343900,10.382800,False,10.266000,10.295200,reg,27617865
F,2018-02-21,10.314700,10.460600,False,10.304900,10.363300,reg,36037720
F,2018-02-22,10.343900,10.441200,False,10.275700,10.314700,reg,25409561
F,2018-02-23,10.412000,10.421700,False,10.334100,10.382800,reg,21786781
F,2018-02-26,10.596900,10.655200,False,10.412000,10.450900,reg,27157756
F,2018-02-27,10.324400,10.694200,False,10.314700,10.635800,reg,43502012
F,2018-02-28,10.324400,10.499500,False,10.285500,10.392500,reg,41321429
F,2018-03-01,10.013000,10.402200,False,9.925400,10.363300,reg,75841414
F,2018-03-02,10.120000,10.139500,False,9.867000,9.964400,reg,60491864
F,2018-03-05,10.295200,10.343900,False,10.022700,10.032500,reg,44021329
F,2018-03-06,10.343900,10.392500,False,10.188200,10.363300,reg,30978946
F,2018-03-07,10.343900,10.353600,False,10.149200,10.227100,reg,30046598
